Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.147094842734315,28.23664873097875,20.147094842734315
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.895485393424995,32.25214317350386,23.895485393424995
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.285185820599082,29.3164441486412,22.285185820599082
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,22.588510877582817,29.096036690714513,22.588510877582817
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.22969044366801,29.491436743439312,22.22969044366801
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.449020113824382,35.197585629523395,25.449020113824382
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,29.81999053641614,43.974900187600504,29.81999053641614
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,36.59033190307612,52.86471156189655,36.59033190307612
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,44.67479451327191,73.62394577814476,44.67479451327191
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,96.10832061845156,163.91596859664827,96.10832061845156
