feature,importance
NumValenceElectrons,0.17172898638993644
HeavyAtomCount,0.14398230866007533
MolMR,0.12758579134389927
LabuteASA,0.1024048246398404
MolWt,0.06630919125046622
ExactMolWt,0.05980729448158643
Kappa1,0.053182075628890144
NumRotatableBonds,0.0436053369334079
Kappa2,0.03534013619849264
MolLogP,0.03165513740726287
HeteroAtomCount,0.02474014743725956
Kappa3,0.016608648487659892
NumHAcceptors,0.015926387548118256
RotPerHeavyAtom,0.013104371539200141
NOCount,0.012958249229925984
FractionCSP3,0.011312680509638828
HeteroAtomFraction,0.01009375996176304
RingCount,0.009769042607437186
BalabanJ,0.009403021670650337
CarbonFraction,0.009189318569394068
TPSA,0.0075832787298626666
RingPerHeavyAtom,0.005662166622687576
NumHeterocycles,0.005328695472679443
NumAromaticRings,0.0046523588484327335
NHOHCount,0.003458254203208963
HalogenCount,0.0017537735956622412
NumHDonors,0.0015833255575622134
NumAliphaticRings,0.0006699173892184768
NumSaturatedRings,0.0003473669213725171
NumBridgeheadAtoms,0.00016812532281098723
NumAmideBonds,4.3431306959665265e-05
FormalCharge,4.081646017098162e-05
NumSpiroAtoms,1.7790744666778993e-06
