structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::FHKSXSQHXQEMOK-UHFFFAOYSA-N,"1,2-hexanediol",CCCCC(O)CO,C6H14O2,FHKSXSQHXQEMOK-UHFFFAOYSA-N,5,liquid,liquid,283.15,313.15,101.325,101.325,277.105,309.15,293.1094,293.095
inchikey::KLIDCXVFHGNTTM-UHFFFAOYSA-N,"1,3-dimethoxy-2-hydroxybenzene",COc1cccc(OC)c1O,C8H10O3,KLIDCXVFHGNTTM-UHFFFAOYSA-N,5,liquid,liquid,333.16,493.1,101.325,101.325,317.2678656,357.3502976,336.6924288,333.4550016
inchikey::BMQZYMYBQZGEEY-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium chloride,CCn1cc[n+](C)c1.[Cl-],C6H11ClN2,BMQZYMYBQZGEEY-UHFFFAOYSA-M,5,liquid|solid,liquid|solid,293.15,373.15,100.0,100.0,216.9942256,291.7692628,247.78394680000002,224.3251116
inchikey::DYUQAZSOFZSPHD-UHFFFAOYSA-N,1-phenyl-1-propanol,CCC(O)c1ccccc1,C9H12O,DYUQAZSOFZSPHD-UHFFFAOYSA-N,5,liquid,liquid,273.15,473.15,101.325,101.325,279.60008194,368.94136482,331.815703672,338.02601236
inchikey::WYTRYIUQUDTGSX-UHFFFAOYSA-N,1-phenyl-2-propanol,CC(O)Cc1ccccc1,C9H12O,WYTRYIUQUDTGSX-UHFFFAOYSA-N,5,liquid,liquid,273.15,473.15,101.325,101.325,282.05151958,354.7775029,324.54310533999995,329.30978964
inchikey::KBHBUUBXEQUIMV-UHFFFAOYSA-N,1H-perfluorooctane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17,KBHBUUBXEQUIMV-UHFFFAOYSA-N,5,liquid,liquid,258.16,373.14,101.325,101.325,446.1105108528,526.7632585776,481.31207470352,480.1358887992
inchikey::CRBJBYGJVIBWIY-UHFFFAOYSA-N,2-(1-methylethyl)phenol,CC(C)c1ccccc1O,C9H12O,CRBJBYGJVIBWIY-UHFFFAOYSA-N,5,liquid,liquid,273.15,473.15,101.325,101.325,281.9153286,354.36892996,320.62080511600004,321.54690378
inchikey::BJIOGJUNALELMI-ONEGZZNKSA-N,2-methoxy-4-(1E)-1-propen-1-yl-phenol,C/C=C/c1ccc(O)c(OC)c1,C10H12O2,BJIOGJUNALELMI-ONEGZZNKSA-N,5,liquid,liquid,298.15,473.15,101.325,101.325,326.92435028,387.18614664,356.11930230400003,348.43469176
inchikey::BTFQKIATRPGRBS-UHFFFAOYSA-N,2-methylbenzaldehyde,Cc1ccccc1C=O,C8H8O,BTFQKIATRPGRBS-UHFFFAOYSA-N,5,liquid,liquid,238.16,458.11,101.325,101.325,184.4279782,261.08273396,218.718365808,217.82926676
inchikey::RNDNSYIPLPAXAZ-UHFFFAOYSA-N,2-phenyl-1-propanol,CC(CO)c1ccccc1,C9H12O,RNDNSYIPLPAXAZ-UHFFFAOYSA-N,5,liquid,liquid,273.15,473.15,101.325,101.325,273.33529686,351.78130134,318.79584598400004,325.90501514
inchikey::OVWYEQOVUDKZNU-UHFFFAOYSA-N,3-methylbenzaldehyde,Cc1cccc(C=O)c1,C8H8O,OVWYEQOVUDKZNU-UHFFFAOYSA-N,5,liquid,liquid,273.17,453.11,101.325,101.325,189.47421604,258.07902096,221.770138216,219.75164308
inchikey::JJCKHVUTVOPLBV-UHFFFAOYSA-N,3-methylbenzyl alcohol,Cc1cccc(CO)c1,C8H10O,JJCKHVUTVOPLBV-UHFFFAOYSA-N,5,liquid,liquid,266.15,456.15,101.325,101.325,222.2170436,308.0986168,271.49816255999997,281.1002844
inchikey::OPTASPLRGRRNAP-UHFFFAOYSA-N,4-amino-2-hydroxypyrimidine,N=c1ccnc(O)[nH]1,C4H5N3O,OPTASPLRGRRNAP-UHFFFAOYSA-N,5,liquid,liquid,408.0,428.0,101.325,101.325,268.0,274.0,270.8,271.0
inchikey::FXLOVSHXALFLKQ-UHFFFAOYSA-N,4-methylbenzaldehyde,Cc1ccc(C=O)cc1,C8H8O,FXLOVSHXALFLKQ-UHFFFAOYSA-N,5,liquid,liquid,273.17,453.11,101.325,101.325,191.39659236,250.99025828,219.054781664,216.267336
inchikey::LPNBBFKOUUSUDB-UHFFFAOYSA-N,4-methylbenzoic acid,Cc1ccc(C(=O)O)cc1,C8H8O2,LPNBBFKOUUSUDB-UHFFFAOYSA-N,5,liquid,liquid,458.15,523.15,101.325,101.325,331.24788936,362.01731928,346.63260432000004,347.58563976
inchikey::OUDFNZMQXZILJD-UHFFFAOYSA-N,5-methylfurfural,Cc1ccc(C=O)o1,C6H6O2,OUDFNZMQXZILJD-UHFFFAOYSA-N,5,liquid,liquid,250.15,450.1,101.325,101.325,180.47133896,233.54466744,205.664653392,202.49346696
inchikey::HUKPVYBUJRAUAG-UHFFFAOYSA-N,7H-benz[de]anthracen-7-one,O=C1c2ccccc2-c2cccc3cccc1c23,C17H10O,HUKPVYBUJRAUAG-UHFFFAOYSA-N,5,solid,solid,300.47,320.32,101.325,101.325,257.2,275.0,266.12,265.7
inchikey::WGQKYBSKWIADBV-UHFFFAOYSA-N,benzylamine,NCc1ccccc1,C7H9N,WGQKYBSKWIADBV-UHFFFAOYSA-N,5,liquid,liquid,298.15,333.15,100.0,101.325,206.74,215.89,210.244,209.39
inchikey::DULCUDSUACXJJC-UHFFFAOYSA-N,ethyl phenylacetate,CCOC(=O)Cc1ccccc1,C10H12O2,DULCUDSUACXJJC-UHFFFAOYSA-N,5,liquid,liquid,253.15,413.15,101.325,101.325,271.7527874,326.26754596,297.302475448,292.77052564
inchikey::QHWAQXOSHHKCFK-UHFFFAOYSA-N,hexylcyclohexane,CCCCCCC1CCCCC1,C12H24,QHWAQXOSHHKCFK-UHFFFAOYSA-N,5,liquid,liquid,228.16,468.09,101.325,101.325,292.0333956,463.7187348,371.210634384,361.21248816
