,SHAP_NumValenceElectrons,SHAP_HeavyAtomCount,SHAP_LabuteASA,SHAP_Kappa1,SHAP_NumRotatableBonds,SHAP_MolLogP,SHAP_TPSA,SHAP_NumHAcceptors,SHAP_FractionCSP3,SHAP_HeteroAtomFraction
1491,-71.68303551051393,-49.95849213889799,-29.833122832041525,-24.180105638556373,-15.57452852610829,-1.9149485675682223,1.8957161802546973,-2.0493052088827786,-11.469486288765316,-10.333737126652538
1396,1.0128369022725219,-3.2629646286707943,-3.6162642684825657,-3.3398219180747306,2.2444949075131286,-0.5737191717361799,6.88994359133117,0.8068434181826124,-3.7669797628186954,8.983061465893064
1647,-44.936402176099996,-23.640543149041886,-14.767363193654496,-23.361909685116597,-13.724694742722036,-2.302255922396625,-1.7129030285551612,-2.386846469236788,-13.749741276440279,3.861886791777765
588,-69.15174444978499,-54.88313350107598,-6.64270484917718,33.226806838654426,-20.367135907249324,-8.452752967496206,-3.309987015054041,-1.5342511137103345,-20.403695053732747,-21.71772624036218
1937,-40.752798009741795,-28.125099595234712,-18.873574281058175,-23.73048846332218,-13.595843176131375,-2.8385270123363857,3.285731618136004,-0.33330419394224037,9.062301787599914,6.795140160553708
420,-37.145454474162015,-21.430739523982144,-8.34915889144937,-17.50913571861244,-13.007285322316482,-1.048976227004643,3.4042916635995657,0.09588972667183596,-13.744132776139871,5.401717363918186
1039,79.38152663380025,69.11058486071842,41.036269050962126,31.61156922545946,-16.8604107888374,-7.112441137301539,0.2900306756087296,2.447970326870198,-7.322557820378332,-1.4506441520608968
1892,-45.188827387051624,-30.796879343528822,-25.064628026979502,-19.429047854431943,-12.851864335021897,-6.36279388209741,-3.321837609012701,-1.387697234320224,4.1675324199932655,2.2952995892858783
364,10.245782591202072,1.362840517468865,-6.457396117034792,8.70766718660716,-4.381861149329633,-3.6391966890308356,-4.002300958867921,-0.8295190155493799,-8.438460241958955,1.741851117986391
1001,-58.57965493132746,-40.25494797708246,-32.785774755866754,-31.021465872113314,-13.888226232743785,-4.093835194473897,1.5415576033836254,-0.9834122833123545,10.381259940746306,1.4414232039830674
268,85.79628690186352,33.306906349916964,5.557163135084514,46.02665131443016,-9.026165091440953,-6.039793884008895,-0.18168440087607188,1.366668386993905,9.133319725587064,-6.615892820290851
1035,-30.37618496478221,-23.740892734182992,-14.576531046317404,-21.4405452262833,-13.442184409032597,0.31706576881894216,2.811646975849973,-0.44941315001750576,7.878399271162278,5.143547883912474
1245,-18.786240034824427,-22.875874415471657,-12.30634174487118,-3.16628000291667,7.383852187019794,-1.4729103843331943,-5.0449949652493995,-3.807869058105455,9.700856261244626,6.087911608224037
64,-39.90112511514018,-31.753368206338937,-20.844153102123336,-14.027258631478432,0.5199591589114854,-1.4388432241286027,4.918705448711068,-0.11367644979973886,10.628046415722029,7.105910700406884
1149,158.88526871401953,100.39489207488764,67.53879987012664,59.20123489188158,22.32546846280657,-0.9161713269866005,0.9651081306506412,0.8576972377410296,11.901240084858829,-1.1389662126402036
1070,147.81917904232012,95.5130032872277,64.21232606107208,51.83567399607219,29.657137097942336,3.2910423075476767,2.114057418960717,1.4661194954934518,14.406004664823673,-3.2512601698184307
17,-74.21307406807045,-54.64008170816459,-30.84922807178461,-27.082914193466024,-15.736956789276432,-6.446762842416579,-3.080629263335083,-2.918098865934107,-14.033752429923238,-14.253522841562114
1057,-4.540508114448044,-13.396698728348456,-5.436464064563955,4.954865431422963,12.729252682417346,-1.90320226379783,4.998474920577468,0.6948411108339387,15.79608900174947,7.395774034673863
713,-41.23592092503396,-44.287695338180285,-11.076165481943669,-4.6551784741995865,-17.448426517079096,-8.37620203183988,-5.642559456512253,-0.8318901423363486,-19.27165965655291,-22.199930111722598
331,-2.7075224989054054,-8.387823579400777,-7.947467096782834,-8.67095689503934,-14.579209118445197,-4.7964046778258105,-0.3220461060214562,1.00147356761922,1.4941453279900594,2.863879742198983
985,-56.57028773938465,-38.1745009021809,-29.8856850245005,-24.116767861597015,-10.576500886224336,2.898534032532246,1.810098061364337,-0.5417321492545079,11.555038615966811,-2.581375322146552
558,-73.27712899814895,-46.97267132020019,22.243593649551123,20.493916840101452,-18.47801278622814,-9.637371801437178,-4.852056399132549,-0.5660409422182157,-24.76932119409339,-21.00410104955349
1885,-46.893313817564355,-35.67435495992665,-30.506245083089826,-19.045743078717205,-12.783408450349278,-9.636662143863484,-3.2170381861785518,-1.8272234783235213,8.674165341986798,1.7502657073148238
233,-38.814465701699234,-24.122183711120325,-17.218822969998627,-24.020526188109645,-13.496629318047583,-3.8965360929070982,-2.9262166789826813,-0.9647313534476539,-14.880777283217514,3.887714817033185
