feature,mean_abs_shap
NumValenceElectrons,57.3662804842192
HeavyAtomCount,41.17322098151978
LabuteASA,27.974765313779738
Kappa1,27.29870336437884
NumRotatableBonds,17.819625540891884
FractionCSP3,11.311021329561987
HeteroAtomFraction,6.832727880822284
MolLogP,6.0932049717014
TPSA,3.4008430191836667
NumHAcceptors,2.45331566104579
