name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
"ethanol, 2-[2-[2-(pentyloxy)ethoxy]ethoxy]-",CCCCCOCCOCCOCCO,NIST_XML_SetB,C11H24O4,220.308999999999,12,479.71601015,CCCCCOCCOCCOCCO
1-ethyl-2-propylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C12H16F6N2O4S2,430.392,5,593.9,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"3-methyl-N,N-bis(3-methylphenyl)benzenamine",Cc1cccc(N(c2cccc(C)c2)c2cccc(C)c2)c1,NIST_XML_SetB,C21H21N,287.406,3,1250.843098814,Cc1cccc(N(c2cccc(C)c2)c2cccc(C)c2)c1
3-chlorobenzenamine,Nc1cccc(Cl)c1,NIST_XML_SetB,C6H6ClN,127.574,0,204.0,Nc1cccc(Cl)c1
3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),C=C[n+]1ccn(CC(Cn2cc[n+](C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,NIST_XML_SetB,C16H17N13,391.403,6,400.0,C=C[n+]1ccn(CC(Cn2cc[n+](C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C12H16F6N2O4S2,430.392,5,636.0,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C11H20F6N2O4S2,422.413,4,582.0809788976,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"2,6,10,15,19,23-hexamethyltetracosane",CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,NIST_XML_SetB,C30H62,422.826,21,879.0,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
butyl octanoate,CCCCCCCC(=O)OCCCC,NIST_XML_SetB,C12H24O2,200.321999999999,9,397.4092,CCCCCCCC(=O)OCCCC
"4-(dimethylamino)-1-hexyl-pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C15H23F6N3O4S2,487.488,7,662.977368512,CCCCCCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"1,3-butanediol",CC(O)CCO,NIST_XML_SetB,C4H10O2,90.1219999999999,2,219.62,CC(O)CCO
N-methylpiperazine,CN1CCNCC1,NIST_XML_SetB,C5H12N2,100.165,0,213.9,CN1CCNCC1
octyl butanoate,CCCCCCCCOC(=O)CCC,NIST_XML_SetB,C12H24O2,200.321999999999,9,383.2754,CCCCCCCCOC(=O)CCC
"1,7-diaminoheptane",NCCCCCCCN,NIST_XML_SetB,C7H18N2,130.235,6,332.76,NCCCCCCCN
"4,6-dimethyl-N-phenylpyrimidin-2-amine dodecanoate",CCCCCCCCCCCC(=O)O.Cc1cc(C)nc(Nc2ccccc2)n1,NIST_XML_SetB,C24H37N3O2,399.579,12,830.56,CCCCCCCCCCCC(=O)O.Cc1cc(C)nc(Nc2ccccc2)n1
bromobenzene,Brc1ccccc1,NIST_XML_SetB,C6H5Br,157.01,0,154.35,Brc1ccccc1
1-bromo-2-chlorobenzene,Clc1ccccc1Br,NIST_XML_SetB,C6H4BrCl,191.455,0,174.78,Clc1ccccc1Br
cycloheptanol,OC1CCCCCC1,NIST_XML_SetB,C7H14O,114.187999999999,0,252.3,OC1CCCCCC1
1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C17H20F6N2O4S2,494.479,7,783.96,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-butyl-nicotinic acid butyl ester bis[(trifluoromethyl)sulfonyl]imide,CCCCOC(=O)c1ccc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C16H22F6N2O6S2,516.482,9,707.0,CCCCOC(=O)c1ccc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
methyl eicosanoate,CCCCCCCCCCCCCCCCCCCC(=O)OC,NIST_XML_SetB,C21H42O2,326.565,18,714.47,CCCCCCCCCCCCCCCCCCCC(=O)OC
"N-methyl-1,3-diaminopropane",CNCCCN,NIST_XML_SetB,C4H12N2,88.154,3,243.5,CNCCCN
"1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCn1ccc(=[N+]2CCC(C)CC2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C19H29F6N3O4S2,541.58,7,628.0,CCCCCCn1ccc(=[N+]2CCC(C)CC2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
hexylcyclohexane,CCCCCCC1CCCCC1,NIST_XML_SetB,C12H24,168.323999999999,5,330.24179952,CCCCCCC1CCCCC1
"N,N-dibutyl-N-methylbutanaminium L-serinate",CCCC[N+](C)(CCCC)CCCC.N[C@@H](CO)C(=O)[O-],NIST_XML_SetB,C16H36N2O3,304.474999999999,11,634.8,CCCC[N+](C)(CCCC)CCCC.N[C@@H](CO)C(=O)[O-]
octadecanoic acid,CCCCCCCCCCCCCCCCCC(=O)O,NIST_XML_SetB,C18H36O2,284.483999999999,16,648.6081072,CCCCCCCCCCCCCCCCCC(=O)O
2-cyclohexylethanol,OCCC1CCCCC1,NIST_XML_SetB,C8H16O,128.215,2,261.91,OCCC1CCCCC1
ethyl tridecanoate,CCCCCCCCCCCCC(=O)OCC,NIST_XML_SetB,C15H30O2,242.402999999999,12,496.0,CCCCCCCCCCCCC(=O)OCC
"(S)-3,7-dimethyl-6-octen-1-ol",CC(C)=CCC[C@H](C)CCO,NIST_XML_SetB,C10H20O,156.269,5,357.9,CC(C)=CCC[C@H](C)CCO
propyl levulinate,CCCOC(=O)CCC(C)=O,NIST_XML_SetB,C8H14O3,158.197,5,319.87020912,CCCOC(=O)CCC(C)=O
1-butyl-3-methylimidazolium trifluoroacetate,CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,NIST_XML_SetB,C10H15F3N2O2,252.235999999999,3,407.9,CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F
2-methyl-1-butanol,CCC(C)CO,NIST_XML_SetB,C5H12O,88.1499999999999,2,215.0,CCC(C)CO
