name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide,C[n+]1ccn(CCO)c1.N#C[N-]C#N,NIST_XML_SetB,C8H11N5O,193.21,2,231.847248,C[n+]1ccn(CCO)c1.N#C[N-]C#N
1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C10H15F6N3O4S2,419.369,4,565.3058252416,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"2-(N,N-dimethylamino)ethanol",CN(C)CCO,NIST_XML_SetB,C4H11NO,89.1379999999999,2,213.0,CN(C)CCO
(Z)-3-hexen-1-ol,CC/C=C\CCO,NIST_XML_SetB,C6H12O,100.161,3,234.0,CC/C=C\CCO
1-propylpyridinium tetrafluoroborate,CCC[n+]1ccccc1.F[B-](F)(F)F,NIST_XML_SetB,C8H12BF4N,208.994999999999,2,363.0,CCC[n+]1ccccc1.F[B-](F)(F)F
benzene-d6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],NIST_XML_SetB,C6H6,84.1506106679999,0,149.82,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]
benzene,c1ccccc1,NIST_XML_SetB,C6H6,78.1139999999999,0,135.18,c1ccccc1
N-(3-aminopropyl)morpholine,NCCCN1CCOCC1,NIST_XML_SetB,C7H16N2O,144.218,3,296.2,NCCCN1CCOCC1
d-carvone,C=C(C)[C@H]1CC=C(C)C(=O)C1,NIST_XML_SetB,C10H14O,150.220999999999,1,280.3,C=C(C)[C@H]1CC=C(C)C(=O)C1
"1,4-dibromobutane",BrCCCCBr,NIST_XML_SetB,C4H8Br2,215.916,3,191.68,BrCCCCBr
isobutyl tert-butyl ether,CC(C)COC(C)(C)C,NIST_XML_SetB,C8H18O,130.231,2,268.7,CC(C)COC(C)(C)C
1-butyl-3-methylpyridinium tetrafluoroborate,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,NIST_XML_SetB,C10H16BF4N,237.048999999999,3,405.0,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
"1,4-dimethylbenzene",Cc1ccc(C)cc1,NIST_XML_SetB,C8H10,106.167999999999,0,181.734,Cc1ccc(C)cc1
1-methyl-3-octylimidazolium bromide,CCCCCCCCn1cc[n+](C)c1.[Br-],NIST_XML_SetB,C12H23BrN2,275.234,7,392.0,CCCCCCCCn1cc[n+](C)c1.[Br-]
diphenyl ether,c1ccc(Oc2ccccc2)cc1,NIST_XML_SetB,C12H10O,170.210999999999,2,274.3740064,c1ccc(Oc2ccccc2)cc1
1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,NIST_XML_SetB,C14H21N9,315.385,4,519.439095,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N
methyl butanoate,CCCC(=O)OC,NIST_XML_SetB,C5H10O2,102.133,2,198.084,CCCC(=O)OC
tetraethylene glycol,OCCOCCOCCOCCO,NIST_XML_SetB,C8H18O5,194.227,10,428.5,OCCOCCOCCOCCO
1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C10H12F6N2O4S2,402.338,3,491.0,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-ethyl-3-methylimidazolium thiocyanate,CCn1cc[n+](C)c1.N#C[S-],NIST_XML_SetB,C7H11N3S,169.253,1,281.44698760012,CCn1cc[n+](C)c1.N#C[S-]
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,NIST_XML_SetB,C9H17BF4N2,240.052999999999,3,416.01,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F
"1,3-dibromopropane",BrCCCBr,NIST_XML_SetB,C3H6Br2,201.888999999999,2,163.73,BrCCCBr
2-dimethylphosphonomethylbenzonitrile,COP(=O)(Cc1ccccc1C#N)OC,NIST_XML_SetB,C10H12NO3P,225.183999999999,4,503.6623002027,COP(=O)(Cc1ccccc1C#N)OC
1-chlorobutane,CCCCCl,NIST_XML_SetB,C4H9Cl,92.5689999999999,2,159.48,CCCCCl
"1,2,3-propanetriol trioctanoate",CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,NIST_XML_SetB,C27H50O6,470.691,23,913.3,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
1-bromooctane,CCCCCCCCBr,NIST_XML_SetB,C8H17Br,193.128,6,272.151158136,CCCCCCCCBr
"1,2,3-propanetriyl tridodecanoate",CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,NIST_XML_SetB,C39H74O6,639.015,35,1316.0,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
1-butyl-3-(3-pentyl)imidazolium bis((trifluoromethyl)sulfonyl)imide,CCCC[n+]1ccn(C(CC)CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C14H23F6N3O4S2,475.477,8,696.61,CCCC[n+]1ccn(C(CC)CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-ethyl-3-methylimidazolium ethyl sulfate,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,NIST_XML_SetB,C8H16N2O4S,236.292999999999,3,382.8,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
cyclohexylmethanol,OCC1CCCCC1,NIST_XML_SetB,C7H14O,114.187999999999,1,235.55,OCC1CCCCC1
dipropyl carbonate,CCCOC(=O)OCCC,NIST_XML_SetB,C7H14O3,146.186,4,276.43,CCCOC(=O)OCCC
1-hexyl-3-methylpyridinium bromide,CCCCCC[n+]1cccc(C)c1.[Br-],NIST_XML_SetB,C12H20BrN,258.203,5,343.0,CCCCCC[n+]1cccc(C)c1.[Br-]
1-butyl-3-methylimidazolium tosylate,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,NIST_XML_SetB,C15H22N2O3S,310.419,4,543.4,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1
1-phenylethanol,CC(O)c1ccccc1,NIST_XML_SetB,C8H10O,122.166999999999,1,263.1,CC(O)c1ccccc1
[R]-12-hydroxy-cis-9-octadecenoic acid,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,NIST_XML_SetB,C18H34O3,298.466999999999,15,626.767596,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O
"1,2-pentanediol",CCCC(O)CO,NIST_XML_SetB,C5H12O2,104.148999999999,3,266.29,CCCC(O)CO
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",CC12CCC(CC1)C(C)(C)O2,NIST_XML_SetB,C10H18O,154.253,0,270.7,CC12CCC(CC1)C(C)(C)O2
"1,4-butanediol",OCCCCO,NIST_XML_SetB,C4H10O2,90.1219999999999,3,203.06,OCCCCO
acetonitrile-d3,[2H]C([2H])([2H])C#N,NIST_XML_SetB,C2H3N,44.0713053339999,0,95.02,[2H]C([2H])([2H])C#N
acetonitrile,CC#N,NIST_XML_SetB,C2H3N,41.053,0,90.93,CC#N
1-(1-methyl-2-propoxyethoxy)-2-propanol,CCCOCC(C)OCC(C)O,NIST_XML_SetB,C9H20O3,176.256,7,388.1,CCCOCC(C)OCC(C)O
N-(2-hydroxyethyl)piperazine,OCCN1CCNCC1,NIST_XML_SetB,C6H14N2O,130.191,2,285.0,OCCN1CCNCC1
ethanoic anhydride,CC(=O)OC(C)=O,NIST_XML_SetB,C4H6O3,102.088999999999,0,200.73,CC(=O)OC(C)=O
"1,9-dibromononane",BrCCCCCCCCCBr,NIST_XML_SetB,C9H18Br2,286.051,8,335.29,BrCCCCCCCCCBr
benzylamine,NCc1ccccc1,NIST_XML_SetB,C7H9N,107.156,1,206.74,NCc1ccccc1
"1,1-dichloropropane",CCC(Cl)Cl,NIST_XML_SetB,C3H6Cl2,112.987,1,152.82,CCC(Cl)Cl
"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethyl sulfate",CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO,NIST_XML_SetB,C8H21NO5S,243.325,5,451.0,CCOS(=O)(=O)[O-].CC[N+](C)(C)CCO
3-(ethoxycarbonyl)-1-ethylpyridinium ethylsulfate,CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-],NIST_XML_SetB,C12H19NO6S,305.352,5,513.0,CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-]
1-ethyl-2-pentylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C14H20F6N2O4S2,458.446,7,652.7,CCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"1,3-dioxolane",C1COCO1,NIST_XML_SetB,C3H6O2,74.079,0,121.66,C1COCO1
4-octanol,CCCCC(O)CCC,NIST_XML_SetB,C8H18O,130.231,5,332.081196,CCCCC(O)CCC
1-butyl-1-methylpyrrolidinium tetracyanoborate,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,NIST_XML_SetB,C13H20BN5,257.15,3,524.0,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N
"1,3-dimethylimidazolium methylsulfate",COS(=O)(=O)[O-].Cn1cc[n+](C)c1,NIST_XML_SetB,C6H12N2O4S,208.239,1,298.1,COS(=O)(=O)[O-].Cn1cc[n+](C)c1
(-)-cis-verbenol,CC1=C[C@H](O)[C@H]2C[C@@H]1C2(C)C,NIST_XML_SetB,C10H16O,152.237,0,372.98676532,CC1=C[C@H](O)[C@H]2C[C@@H]1C2(C)C
1-butyl-3-methylimidazolium nitrate,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],NIST_XML_SetB,C8H15N3O3,201.225999999999,3,357.7,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-]
"1,2-dibromobenzene",Brc1ccccc1Br,NIST_XML_SetB,C6H4Br2,235.906,0,179.76,Brc1ccccc1Br
1-ethyl-2-octylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C17H26F6N2O4S2,500.527,10,749.4,CCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"N,N-dibutyl-N-methyl-1-butanaminium L-lysinate",CCCC[N+](C)(CCCC)CCCC.NCCCC[C@H](N)C(=O)[O-],NIST_XML_SetB,C19H43N3O2,345.572,14,823.8,CCCC[N+](C)(CCCC)CCCC.NCCCC[C@H](N)C(=O)[O-]
"(1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",C=C1CC[C@H]2C[C@@H]1C2(C)C,NIST_XML_SetB,C10H16,136.237999999999,0,243.36430274,C=C1CC[C@H]2C[C@@H]1C2(C)C
.beta.-pinene,C=C1CCC2CC1C2(C)C,NIST_XML_SetB,C10H16,136.237999999999,0,249.3082932,C=C1CCC2CC1C2(C)C
1-ethyl-3-methylimidazolium dimethylphosphate,CCn1cc[n+](C)c1.COP(=O)([O-])OC,NIST_XML_SetB,C8H17N2O4P,236.207999999999,3,411.777382840142,CCn1cc[n+](C)c1.COP(=O)([O-])OC
3-amino-1-propanol,NCCCO,NIST_XML_SetB,C3H9NO,75.1109999999999,2,204.0,NCCCO
1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C13H21F6N3O4S2,461.45,8,659.2,CCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C10H12F6N2O4S2,402.338,3,627.0,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
pyrimethanil myristic salt,CCCCCCCCCCCCCC(=O)O.Cc1cc(C)nc(Nc2ccccc2)n1,NIST_XML_SetB,C26H41N3O2,427.633,14,744.2,CCCCCCCCCCCCCC(=O)O.Cc1cc(C)nc(Nc2ccccc2)n1
2-acetylthiophene,CC(=O)c1cccs1,NIST_XML_SetB,C6H6OS,126.18,1,205.7,CC(=O)c1cccs1
1-phenyl-2-propanol,CC(O)Cc1ccccc1,NIST_XML_SetB,C9H12O,136.194,2,282.05151958,CC(O)Cc1ccccc1
tetrahydrofuran,C1CCOC1,NIST_XML_SetB,C4H8O,72.107,0,126.4,C1CCOC1
"1,3-benzenediamine",Nc1cccc(N)c1,NIST_XML_SetB,C6H8N2,108.144,0,219.3,Nc1cccc(N)c1
1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetB,C10H20F3NO3S,291.335,3,435.0,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F
hafnium(IV) 2-methylpropan-2-olate,CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].[Hf+4],NIST_XML_SetB,C16H36HfO4,470.95,0,598.9,CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].[Hf+4]
cyclopentanol,OC1CCCC1,NIST_XML_SetB,C5H10O,86.1339999999999,0,181.82,OC1CCCC1
"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C9H13F6N3O4S2,405.342,3,492.7,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
cyclohexane-d12,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],NIST_XML_SetB,C6H12,96.2352213359999,0,182.57,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H]
cyclohexane,C1CCCCC1,NIST_XML_SetB,C6H12,84.162,0,156.2,C1CCCCC1
(trichloromethyl)benzene,ClC(Cl)(Cl)c1ccccc1,NIST_XML_SetB,C7H5Cl3,195.476,0,217.76,ClC(Cl)(Cl)c1ccccc1
"1,4,7,10,13,16-hexaoxacyclooctadecane",C1COCCOCCOCCOCCOCCO1,NIST_XML_SetB,C12H24O6,264.318,0,515.0,C1COCCOCCOCCOCCOCCO1
"1,3-propanediamine",NCCCN,NIST_XML_SetB,C3H10N2,74.127,2,203.59,NCCCN
1-tridecanol,CCCCCCCCCCCCCO,NIST_XML_SetB,C13H28O,200.365999999999,11,482.1,CCCCCCCCCCCCCO
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C11H14F6N2O4S2,416.365,5,592.0,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-methyl-3-octylimidazolium glycinate,CCCCCCCCn1cc[n+](C)c1.NCC(=O)[O-],NIST_XML_SetB,C14H27N3O2,269.389,8,504.06,CCCCCCCCn1cc[n+](C)c1.NCC(=O)[O-]
methyl pentadecanoate,CCCCCCCCCCCCCCC(=O)OC,NIST_XML_SetB,C16H32O2,256.429999999999,13,524.33,CCCCCCCCCCCCCCC(=O)OC
2-[2-[2-(octyloxy)ethoxy]ethoxy]ethanol,CCCCCCCCOCCOCCOCCO,NIST_XML_SetB,C14H30O4,262.389999999999,15,573.7,CCCCCCCCOCCOCCOCCO
1-ethyl-3-methylimidazolium acetate,CC(=O)[O-].CCn1cc[n+](C)c1,NIST_XML_SetB,C8H14N2O2,170.212,1,321.89967686608,CC(=O)[O-].CCn1cc[n+](C)c1
"1,3,5-trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,NIST_XML_SetB,C6H3Cl3,181.448999999999,0,197.88,Clc1cc(Cl)cc(Cl)c1
[R]-methyl 12-hydroxy-9-octadecenoate,CCCCCCC(O)CC=CCCCCCCCC(=O)OC,NIST_XML_SetB,C19H36O3,312.494,15,696.53428086,CCCCCCC(O)CC=CCCCCCCCC(=O)OC
3-ethyl-3-pentanol,CCC(O)(CC)CC,NIST_XML_SetB,C7H16O,116.204,3,361.9,CCC(O)(CC)CC
2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C13H18F6N2O4S2,444.419,6,623.6,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
(S)-1-methyl-4-(1-methylethenyl)cyclohexene,C=C(C)[C@@H]1CC=C(C)CC1,NIST_XML_SetB,C10H16,136.238,1,257.8,C=C(C)[C@@H]1CC=C(C)CC1
decamethylcyclopentasiloxane,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,NIST_XML_SetB,C10H30O5Si5,370.775,0,640.6,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
methyl heptanoate,CCCCCCC(=O)OC,NIST_XML_SetB,C8H16O2,144.214,5,289.2,CCCCCCC(=O)OC
2-methoxyethan-1-ol,COCCO,NIST_XML_SetB,C3H8O2,76.095,2,175.32,COCCO
(-)-trans-pinane,C[C@H]1CC[C@H]2C[C@@H]1C2(C)C,NIST_XML_SetB,C10H18,138.254,0,251.3,C[C@H]1CC[C@H]2C[C@@H]1C2(C)C
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C10H15F6N3O4S2,419.369,4,554.5,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
methyl undecanoate,CCCCCCCCCCC(=O)OC,NIST_XML_SetB,C12H24O2,200.321999999999,9,389.0952,CCCCCCCCCCC(=O)OC
1-butyl-3-methylimidazolium iodide,CCCCn1cc[n+](C)c1.[I-],NIST_XML_SetB,C8H15IN2,266.126,3,309.9,CCCCn1cc[n+](C)c1.[I-]
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C9H18F6N2O4S2,396.375,5,559.2,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
trichloroethene,ClC=C(Cl)Cl,NIST_XML_SetB,C2HCl3,131.389,0,128.38,ClC=C(Cl)Cl
"1,2-dimethoxyethane",COCCOC,NIST_XML_SetB,C4H10O2,90.122,3,191.0,COCCOC
"3,6-dioxa-1-octanol",CCOCCOCCO,NIST_XML_SetB,C6H14O3,134.174999999999,6,301.7,CCOCCOCCO
"1,6-hexanediol",OCCCCCCO,NIST_XML_SetB,C6H14O2,118.175999999999,5,282.66,OCCCCCCO
2-propenol,C=CCO,NIST_XML_SetB,C3H6O,58.08,1,146.67,C=CCO
3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,NIST_XML_SetB,C12H24N2O4S,292.400999999999,7,513.9,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
"N,N-dimethyl-dipropylene-diamino-triacetonediamine [EvA34]",CN(C)CCCNCCCNC1CC(C)(C)NC(C)(C)C1,NIST_XML_SetB,C17H38N4,298.518999999999,9,611.64817842,CN(C)CCCNCCCNC1CC(C)(C)NC(C)(C)C1
m-terphenyl,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,NIST_XML_SetB,C18H14,230.309999999999,2,376.3,c1ccc(-c2cccc(-c3ccccc3)c2)cc1
fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,NIST_XML_SetB,C20H21ClO4,360.837,6,602.0,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
dichloromethane-d2,[2H]C([2H])(Cl)Cl,NIST_XML_SetB,CH2Cl2,86.945203556,0,101.49,[2H]C([2H])(Cl)Cl
dichloromethane,ClCCl,NIST_XML_SetB,CH2Cl2,84.933,0,95.61,ClCCl
ethylbenzene,CCc1ccccc1,NIST_XML_SetB,C8H10,106.167999999999,1,185.445,CCc1ccccc1
"propan-1,3-diol",OCCCO,NIST_XML_SetB,C3H8O2,76.095,2,175.78,OCCCO
1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,NIST_XML_SetB,C10H19F6N2P,312.237999999999,5,424.025,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
methyl decanoate,CCCCCCCCCC(=O)OC,NIST_XML_SetB,C11H22O2,186.295,8,376.14,CCCCCCCCCC(=O)OC
"2,4-dichlorobenzaldehyde",O=Cc1ccc(Cl)cc1Cl,NIST_XML_SetB,C7H4Cl2O,175.013999999999,1,208.08,O=Cc1ccc(Cl)cc1Cl
"n-ethyl-4-(n',n'-dimethylammonium)pyridinium bis(trifluoromethylsulfonyl)imide",CCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C11H15F6N3O4S2,431.38,3,619.0,CCn1ccc(=[N+](C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4-heptanol,CCCC(O)CCC,NIST_XML_SetB,C7H16O,116.204,4,306.7715376,CCCC(O)CCC
1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],NIST_XML_SetB,C11H22N2O6S,310.371999999999,8,526.38456896,CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-]
toluene-d8,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],NIST_XML_SetB,C7H8,100.189814223999,0,174.28,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H]
toluene,Cc1ccccc1,NIST_XML_SetB,C7H8,92.1409999999999,0,157.18,Cc1ccccc1
ethyl octanoate,CCCCCCCC(=O)OCC,NIST_XML_SetB,C10H20O2,172.268,7,343.11862208,CCCCCCCC(=O)OCC
1-bromopentane,CCCCCBr,NIST_XML_SetB,C5H11Br,151.047,3,191.57,CCCCCBr
diisopropyl ether,CC(C)OC(C)C,NIST_XML_SetB,C6H14O,102.176999999999,2,214.46482124,CC(C)OC(C)C
1-hexyl-3-methylimidazolium dicyanamide,CCCCCCn1cc[n+](C)c1.N#C[N-]C#N,NIST_XML_SetB,C12H19N5,233.319,5,534.0,CCCCCCn1cc[n+](C)c1.N#C[N-]C#N
(E)-2-hexen-1-ol,CCC/C=C/CO,NIST_XML_SetB,C6H12O,100.160999999999,3,237.2,CCC/C=C/CO
1-ethyl-1-octylpiperidinium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCC[N+]1(CC)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C17H32F6N2O4S2,506.575,10,743.6439954656,CCCCCCCC[N+]1(CC)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetB,C12H22F6N2O4S2,436.44,5,607.5197182464,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
5-methyl-2-hexanol,CC(C)CCC(C)O,NIST_XML_SetB,C7H16O,116.203999999999,3,297.7,CC(C)CCC(C)O
"2,2-dichloropropane",CC(C)(Cl)Cl,NIST_XML_SetB,C3H6Cl2,112.987,0,154.98,CC(C)(Cl)Cl
formamide,N=CO,NIST_XML_SetB,CH3NO,45.041,0,107.82,N=CO
triethylene glycol,OCCOCCOCCO,NIST_XML_SetB,C6H14O4,150.173999999999,7,336.3,OCCOCCOCCO
"2,4-dinitrobenzaldehyde",O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],NIST_XML_SetB,C7H4N2O5,196.118,3,300.29,O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
"1,12-dibromododecane",BrCCCCCCCCCCCCBr,NIST_XML_SetB,C12H24Br2,328.131999999999,11,432.62,BrCCCCCCCCCCCCBr
1-(4-hydroxyphenyl)-1-pentanone,CCCCC(=O)c1ccc(O)cc1,NIST_XML_SetB,C11H14O2,178.230999999999,4,373.9,CCCCC(=O)c1ccc(O)cc1
"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,NIST_XML_SetB,C48H102O2P2,773.29,34,1634.692361428,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC
dimethylformamide,CN(C)C=O,NIST_XML_SetB,C3H7NO,73.095,1,148.2,CN(C)C=O
"N,N-dimethylformamide-d7",[2H]C(=O)N(C([2H])([2H])[2H])C([2H])([2H])[2H],NIST_XML_SetB,C3H7NO,80.1377124459999,0,159.47,[2H]C(=O)N(C([2H])([2H])[2H])C([2H])([2H])[2H]
2-ethoxyethan-1-ol,CCOCCO,NIST_XML_SetB,C4H10O2,90.1219999999999,3,211.1,CCOCCO
"3,6,9,12-tetraoxatridecanol",COCCOCCOCCOCCO,NIST_XML_SetB,C9H20O5,208.254,11,448.6,COCCOCCOCCOCCO
undecan-6-one,CCCCCC(=O)CCCCC,NIST_XML_SetB,C11H22O,170.296,8,363.74324208,CCCCCC(=O)CCCCC
"1,3-dichlorobenzene",Clc1cccc(Cl)c1,NIST_XML_SetB,C6H4Cl2,147.004,0,169.97,Clc1cccc(Cl)c1
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetB,C7H11F3N2O3S,260.236999999999,1,363.2,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
