feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean
molecular_weight,rotatable_bonds,elasticnet,834,73.87805459606383,21.476931107947742,261.41231512024615,0.5967065211502866
molecular_weight,rotatable_bonds,ridge,834,74.03261123829166,21.459919053349598,261.56490734863365,0.5961767986795149
molecular_weight,rotatable_bonds,linear,834,74.07773818843125,21.454398975343434,261.6089087563443,0.5960240530986207
molecular_weight,rotatable_bonds,gbr,834,82.21176645725345,28.408517733966693,333.08281322870715,0.005630871221791658
molecular_weight,rotatable_bonds,svr,834,87.01462623163417,25.56156035843963,298.0615022957069,0.45780843175052754
molecular_weight,rotatable_bonds,rf,834,87.5071277614631,24.584546762831543,335.4027630054544,0.11388320231661835
