chemical_compound_name,formula,calculation_method,Cp_298_J_per_molK,smiles,pubchem_cid,pubchem_matched_name,lookup_status,row_count
"1,2-benzenediol",C6H6O2,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,121.545,Oc1ccccc1O,289.0,"benzene-1,2-diol",ok,1
"1,2-butadiene",C4H6,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,79.115,C=C=CC,11535.0,"buta-1,2-diene",ok,1
"1,2-butanediol",C4H10O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,123.662,CCC(O)CO,11429.0,"butane-1,2-diol",ok,1
"1,2-diazabenzene",C4H4N2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,74.284,c1ccnnc1,9259.0,pyridazine,ok,1
"1,2-dimethylbenzene",C8H10,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,132.11,Cc1ccccc1C,7237.0,"1,2-xylene",ok,1
"1,2-oxazole",C3H3NO,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,60.707,c1cnoc1,9254.0,"1,2-oxazole",ok,1
"1,2-pentadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,99.336,C=C=CCC,11588.0,"penta-1,2-diene",ok,1
"1,2-propadiene",C3H4,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,58.186,C=C=C,10037.0,"propa-1,2-diene",ok,1
"1,2-propanediol",C3H8O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,103.031,CC(O)CO,1030.0,"propane-1,2-diol",ok,1
"1,3,5,7-cyclooctatetraene",C8H8,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,121.06,C1=C\C=C/C=C\C=C/1,637866.0,cyclooctatetraene,ok,1
"1,3,5-trioxane",C3H6O3,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,83.571,C1OCOCO1,8081.0,"1,3,5-trioxane",ok,1
"1,3-benzenediol",C6H6O2,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,121.458,Oc1cccc(O)c1,5054.0,"benzene-1,3-diol",ok,1
"1,3-butadiene",C4H6,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,75.056,C=CC=C,7845.0,"buta-1,3-diene",ok,1
"1,3-butanediol",C4H10O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,122.922,CC(O)CCO,7896.0,"butane-1,3-diol",ok,1
"1,3-cyclohexadiene",C6H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,93.685,C1=CCCC=C1,11605.0,"cyclohexa-1,3-diene",ok,1
"1,3-cyclopentadiene",C5H6,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,74.857,C1=CCC=C1,7612.0,"cyclopenta-1,3-diene",ok,1
"1,3-dibromobenzene",C6H4Br2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,116.815,Brc1cccc(Br)c1,7927.0,"1,3-dibromobenzene",ok,1
"1,3-dimethylbenzene",C8H10,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,133.083,Cc1cccc(C)c1,7929.0,"1,3-xylene",ok,1
"1,3-dioxane",C4H8O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,91.527,C1COCOC1,10450.0,"1,3-dioxane",ok,1
"1,3-oxazole",C3H3NO,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,59.685,c1cocn1,9255.0,"1,3-oxazole",ok,1
"1,4-benzoquinone",C6H4O2,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,106.89,O=C1C=CC(=O)C=C1,4650.0,"cyclohexa-2,5-diene-1,4-dione",ok,1
"1,4-cyclohexadiene",C6H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,93.44,C1=CCC=CC1,12343.0,"cyclohexa-1,4-diene",ok,1
"1,4-dimethylbenzene",C8H10,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,133.015,Cc1ccc(C)cc1,7809.0,"1,4-xylene",ok,1
"1,4-dioxane",C4H8O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,92.275,C1COCCO1,31275.0,"1,4-dioxane",ok,1
"1,4-pentadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,95.877,C=CCC=C,11587.0,"penta-1,4-diene",ok,1
"1,5-hexadiene",C6H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,116.465,C=CCCC=C,11598.0,"hexa-1,5-diene",ok,1
"1,cis-2-dimethylcyclopentane",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,134.579,C[C@@H]1CCC[C@@H]1C,14498.0,"cis-(1S,2R)-1,2-dimethylcyclopentane",ok,1
"1,cis-3-dimethylcyclopentane",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,135.235,,,,failed:None,1
"1,trans-2-dimethylcyclopentane",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,135.464,C[C@@H]1CCC[C@H]1C,252359.0,"trans-(1R,2R)-1,2-dimethylcyclopentane",ok,1
1-aza-2-cycloheptanone,C6H11NO,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,131.536,O=C1CCCCCN1,7768.0,azepan-2-one,ok,1
1-butanamine,C4H11N,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,110.111,CCCCN,8007.0,butan-1-amine,ok,1
1-buten-3-yne,C4H4,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,71.707,C#CC=C,12720.0,but-1-en-3-yne,ok,1
1-butene,C4H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,83.47,C=CCC,7844.0,but-1-ene,ok,1
1-butyne,C4H6,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,79.937,C#CCC,7846.0,but-1-yne,ok,1
1-ethyl-1-methylcyclopentane,C8H16,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,157.105,CCC1(C)CCCC1,28030.0,1-ethyl-1-methylcyclopentane,ok,1
1-heptene,C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,145.11,C=CCCCCC,11610.0,hept-1-ene,ok,1
1-hexyne,C6H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,120.976,C#CCCCC,12732.0,hex-1-yne,ok,1
1-methoxypropane,C4H10O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,104.762,CCCOC,11182.0,1-methoxypropane,ok,1
1-methylcyclopentene,C6H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,105.709,CC1=CCCC1,12746.0,1-methylcyclopentene,ok,1
1-methylethyl ethanoate,C5H10O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,135.282,,,,failed:None,1
1-nitropropane,C3H7NO2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,102.091,CCC[N+](=O)[O-],7903.0,1-nitropropane,ok,1
1-pentanamine,C5H13N,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,130.648,CCCCCN,8060.0,pentan-1-amine,ok,1
1-pentene,C5H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,104.045,C=CCCC,8004.0,pent-1-ene,ok,1
"1-pentene, 2-ethyl-",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,147.377,C=C(CC)CCC,520668.0,3-methylidenehexane,ok,1
1-pentyne,C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,100.425,C#CCCC,12309.0,pent-1-yne,ok,1
1-phenylethyne,C8H6,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,115.396,C#Cc1ccccc1,10821.0,ethynylbenzene,ok,1
1-propyne,C3H4,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,60.192,C#CC,6335.0,prop-1-yne,ok,1
1H-pyrazole,C3H4N2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,64.896,c1cn[nH]c1,1048.0,1H-pyrazole,ok,1
"2,2,3,3-tetramethylbutane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,186.819,CC(C)(C)C(C)(C)C,11675.0,"2,2,3,3-tetramethylbutane",ok,1
"2,2,3-trimethylbutane",C7H16,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,162.691,CC(C)C(C)(C)C,10044.0,"2,2,3-trimethylbutane",ok,1
"2,2,3-trimethylpentane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,183.458,CCC(C)C(C)(C)C,11255.0,"2,2,3-trimethylpentane",ok,1
"2,2,4-trimethylpentane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,182.99,CC(C)CC(C)(C)C,10907.0,"2,2,4-trimethylpentane",ok,1
"2,2-dimethylbutane",C6H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,139.52,CCC(C)(C)C,6403.0,"2,2-dimethylbutane",ok,1
"2,2-dimethylhexane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,180.823,CCCCC(C)(C)C,11551.0,"2,2-dimethylhexane",ok,1
"2,2-dimethylpentane",C7H16,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,160.213,CCCC(C)(C)C,11542.0,"2,2-dimethylpentane",ok,1
"2,2-dimethylpropane",C5H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,118.681,CC(C)(C)C,10041.0,"2,2-dimethylpropane",ok,1
"2,2-dimethylpropanoic acid",C5H10O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,137.346,CC(C)(C)C(=O)O,6417.0,"2,2-dimethylpropanoic acid",ok,1
"2,3,3-trimethyl-1-butene",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,153.851,C=C(C)C(C)(C)C,11669.0,"2,3,3-trimethylbut-1-ene",ok,1
"2,3,3-trimethylpentane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,183.463,CCC(C)(C)C(C)C,11215.0,"2,3,3-trimethylpentane",ok,1
"2,3,4-trimethylpentane",C8H18,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,181.78,CC(C)C(C)C(C)C,11269.0,"2,3,4-trimethylpentane",ok,1
"2,3-butanediol",C4H10O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,126.8945,CC(O)C(C)O,262.0,"butane-2,3-diol",ok,2
"2,3-dihydrofuran",C4H6O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,74.684,C1=COCC1,70934.0,"2,3-dihydrofuran",ok,1
"2,3-dimethyl-1,3-butadiene",C6H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,120.328,C=C(C)C(=C)C,10566.0,"2,3-dimethylbuta-1,3-diene",ok,1
"2,3-dimethyl-1-butene",C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,129.639,C=C(C)C(C)C,11249.0,"2,3-dimethylbut-1-ene",ok,1
"2,3-dimethyl-2-butene",C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,133.841,CC(C)=C(C)C,11250.0,"2,3-dimethylbut-2-ene",ok,1
"2,3-dimethylbutane",C6H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,137.925,CC(C)C(C)C,6589.0,"2,3-dimethylbutane",ok,1
"2,3-dimethylpentane",C7H16,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,158.723,CCC(C)C(C)C,11260.0,"2,3-dimethylpentane",ok,1
"2,3-epoxy-1-propanol",C3H6O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,84.618,OCC1CO1,11164.0,oxiran-2-ylmethanol,ok,1
"2,3-pentadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,100.922,CC=C=CC,136378.0,"penta-2,3-diene",ok,1
"2,4,4-trimethyl-1-pentene",C8H16,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,174.686,C=C(C)CC(C)(C)C,7868.0,"2,4,4-trimethylpent-1-ene",ok,1
"2,4,4-trimethyl-2-pentene",C8H16,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,177.796,CC(C)=CC(C)(C)C,7869.0,"2,4,4-trimethylpent-2-ene",ok,1
"2,4-dimethyl-3-pentanone",C7H14O,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,166.16,CC(C)C(=O)C(C)C,11271.0,"2,4-dimethylpentan-3-one",ok,1
"2,4-dimethylpentane",C7H16,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,158.434,CC(C)CC(C)C,7907.0,"2,4-dimethylpentane",ok,1
"2,4-pentanedione",C5H8O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,123.275,CC(=O)CC(C)=O,31261.0,"pentane-2,4-dione",ok,1
"2,5-dimethyl-2,4-hexadiene",C8H14,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,167.519,CC(C)=CC=C(C)C,12992.0,"2,5-dimethylhexa-2,4-diene",ok,1
"2,6-dimethylpyridine",C7H9N,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,128.836,Cc1cccc(C)n1,7937.0,"2,6-dimethylpyridine",ok,1
2-aminoacetic acid,C2H5NO2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,87.045,NCC(=O)O,750.0,2-aminoacetic acid,ok,1
2-aminoethan-1-ol,C2H7NO,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,82.129,NCCO,700.0,2-aminoethanol,ok,1
2-butanamine,C4H11N,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,112.926,CCC(C)N,24874.0,butan-2-amine,ok,1
2-butyne,C4H6,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,81.613,CC#CC,10419.0,but-2-yne,ok,1
2-ethoxy-2-methylpropane,C6H14O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,154.713,CCOC(C)(C)C,12512.0,2-ethoxy-2-methylpropane,ok,1
2-ethyl-1-butene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,126.786,C=C(CC)CC,12970.0,3-methylidenepentane,ok,1
2-furaldehyde,C5H4O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,92.696,O=Cc1ccco1,7362.0,furan-2-carbaldehyde,ok,1
2-hexanol,C6H14O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,150.949,CCCCC(C)O,12297.0,hexan-2-ol,ok,1
2-hydroxymethylfuran,C5H6O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,105.409,OCc1ccco1,7361.0,furan-2-ylmethanol,ok,1
2-methoxy-2-methylbutane,C6H14O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,154.423,CCC(C)(C)OC,61247.0,2-methoxy-2-methylbutane,ok,1
2-methoxy-2-methylpropane,C5H12O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,133.662,COC(C)(C)C,15413.0,2-methoxy-2-methylpropane,ok,1
"2-methyl-1,3-butadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,97.837,C=CC(=C)C,6557.0,"2-methylbuta-1,3-diene",ok,1
"2-methyl-1,3-dioxolane",C4H8O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,97.726,CC1OCCO1,10342.0,"2-methyl-1,3-dioxolane",ok,1
2-methyl-1-butanol,C5H12O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,130.287,CCC(C)CO,8723.0,2-methylbutan-1-ol,ok,1
2-methyl-1-butene,C5H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,106.498,C=C(C)CC,11240.0,2-methylbut-1-ene,ok,1
2-methyl-1-hexene,C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,147.593,C=C(C)CCCC,22468.0,2-methylhex-1-ene,ok,1
2-methyl-1-pentene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,127.039,C=C(C)CCC,12986.0,2-methylpent-1-ene,ok,1
