formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C3H7NO2,1-nitropropane,102.091,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC[N+](=O)[O-],7903.0,1-nitropropane,ok,True
C2H7N,ethylamine,69.038,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCN,6341.0,ethanamine,ok,True
C2H4O,ethanal,55.658,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC=O,177.0,acetaldehyde,ok,True
CH3NO,formamide,53.769,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NC=O,713.0,formamide,ok,True
C4H6O2,vinyl acetate,104.104,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=COC(C)=O,7904.0,ethenyl acetate,ok,True
C3H6,cyclopropane,55.367,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CC1,6351.0,cyclopropane,ok,True
C2H4O,oxirane,47.441,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CO1,6354.0,oxirane,ok,True
C4H10,2-methylpropane,94.045,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)C,6360.0,2-methylpropane,ok,True
C3H9N,2-propanamine,92.13,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)N,6363.0,propan-2-amine,ok,True
C3H9N,trimethylamine,88.423,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CN(C)C,1146.0,"N,N-dimethylmethanamine",ok,True
C3H6O,methyloxirane,71.043,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CC1CO1,6378.0,2-methyloxirane,ok,True
C4H11N,2-methyl-2-propanamine,116.998,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)(C)N,6385.0,2-methylpropan-2-amine,ok,True
C4H10O,2-methylpropan-2-ol,114.263,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)(C)O,6386.0,2-methylpropan-2-ol,ok,True
C6H14,"2,2-dimethylbutane",139.52,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)(C)C,6403.0,"2,2-dimethylbutane",ok,True
C5H12O,2-methylbutan-2-ol,135.054,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)(C)O,6405.0,2-methylbutan-2-ol,ok,True
C6H12,3-methyl-1-pentene,127.548,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,C=CC(C)CC,12969.0,3-methylpent-1-ene,ok,True
C6H12,2-ethyl-1-butene,126.786,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(CC)CC,12970.0,3-methylidenepentane,ok,True
C6H12,2-methyl-1-pentene,127.039,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)CCC,12986.0,2-methylpent-1-ene,ok,True
C4H2N2,"trans-1,2-dicyanoethylene",86.134,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#C/C=C/C#N,637930.0,(E)-but-2-enedinitrile,ok,True
C3H7N,cyclopropanamine,76.35,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NC1CC1,69828.0,cyclopropanamine,ok,True
H3N,ammonia,35.164,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N,222.0,azane,ok,True
C6H12,(Z)-2-hexene,126.043,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\CCC,643835.0,(Z)-hex-2-ene,ok,True
HNO3,nitric acid,53.514,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=[N+]([O-])O,944.0,nitric acid,ok,True
H2O2,hydrogen peroxide,42.701,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,OO,784.0,hydrogen peroxide,ok,True
N2,nitrogen,29.11,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#N,947.0,molecular nitrogen,ok,True
H2O,water,33.484,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O,962.0,oxidane,ok,True
H3NO,hydroxyamine,43.665,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NO,787.0,hydroxylamine,ok,True
C5H12,2-methylbutane,114.818,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)C,6556.0,2-methylbutane,ok,True
C5H8,"2-methyl-1,3-butadiene",97.837,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(=C)C,6557.0,"2-methylbuta-1,3-diene",ok,True
C4H11N,2-methyl-1-propanamine,112.932,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)CN,6558.0,2-methylpropan-1-amine,ok,True
C4H7N,2-methylpropanenitrile,94.755,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)C#N,6559.0,2-methylpropanenitrile,ok,True
C4H10O,2-methyl-1-propanol,109.597,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)CO,6560.0,2-methylpropan-1-ol,ok,True
C4H10O,butan-2-ol,109.848,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)O,6568.0,butan-2-ol,ok,True
C4H8O,butanone,100.022,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)=O,6569.0,butan-2-one,ok,True
C3H5NO,propenamide,89.443,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(N)=O,6579.0,prop-2-enamide,ok,True
C3H6O2,propanoic acid,89.159,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(=O)O,1032.0,propanoic acid,ok,True
C3H4O2,propenoic acid,80.178,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(=O)O,6581.0,prop-2-enoic acid,ok,True
C3H6O2,methyl ethanoate,90.739,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(C)=O,6584.0,methyl acetate,ok,True
C2H5NO2,nitroethane,82.172,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC[N+](=O)[O-],6587.0,1-nitroethane,ok,True
C6H14,"2,3-dimethylbutane",137.925,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)C(C)C,6589.0,"2,3-dimethylbutane",ok,True
C3H7NO2,2-nitropropane,105.426,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)[N+](=O)[O-],398.0,2-nitropropane,ok,True
C5H12,pentane,112.194,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCC,8003.0,pentane,ok,True
C6H14,3-methylpentane,135.581,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)CC,7282.0,3-methylpentane,ok,True
C5H10O,2-methylbutanal,119.405,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)C=O,7284.0,2-methylbutanal,ok,True
C5H10,1-pentene,104.045,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCCC,8004.0,pent-1-ene,ok,True
C5H10O,pentan-3-one,119.109,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(=O)CC,7288.0,pentan-3-one,ok,True
C3H6O3,methyl hydroxyethanoate,104.789,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,failed:None,False
C6H12,methylcyclopentane,111.529,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC1CCCC1,7296.0,methylcyclopentane,ok,True
C5H7N,N-methylpyrrole,94.004,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,Cn1cccc1,7304.0,1-methylpyrrole,ok,True
C4H11N,1-butanamine,110.111,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCN,8007.0,butan-1-amine,ok,True
C4H5N,3-butenenitrile,84.109,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCC#N,8009.0,but-3-enenitrile,ok,True
C3H8O2,dimethoxymethane,96.786,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COCOC,8020.0,dimethoxymethane,ok,True
C4H11N,diethylamine,109.092,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCNCC,8021.0,N-ethylethanamine,ok,True
C4H8O,ethoxyethene,97.23,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=COCC,8023.0,ethenoxyethane,ok,True
C3H6O2,ethyl methanoate,86.652,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOC=O,8025.0,ethyl formate,ok,True
C4H5N,pyrrole,71.602,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cc[nH]c1,8027.0,1H-pyrrole,ok,True
C4H8O,tetrahydrofuran,80.659,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CCOC1,8028.0,oxolane,ok,True
C4H4O,furan,65.214,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1ccoc1,8029.0,furan,ok,True
C6H14,hexane,132.725,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCCC,8058.0,hexane,ok,True
C5H13N,1-pentanamine,130.648,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCCN,8060.0,pentan-1-amine,ok,True
C4H4N2,butanedinitrile,93.029,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#CCCC#N,8062.0,butanedinitrile,ok,True
C5H10O,pentanal,116.581,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCC=O,8063.0,pentanal,ok,True
C4H8O2,propyl methanoate,107.186,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCOC=O,8073.0,propyl formate,ok,True
C6H12,cyclohexane,105.767,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CCCCC1,8078.0,cyclohexane,ok,True
C6H10,cyclohexene,99.809,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=CCCCC1,8079.0,cyclohexene,ok,True
C5H5N,pyridine,76.972,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1ccncc1,1049.0,pyridine,ok,True
C3H6O3,"1,3,5-trioxane",83.571,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1OCOCO1,8081.0,"1,3,5-trioxane",ok,True
C4H10O2,"3-methyl-2,4-dioxapentane",121.531,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(C)OC,10795.0,"1,1-dimethoxyethane",ok,True
C4H10O,1-methoxypropane,104.762,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCOC,11182.0,1-methoxypropane,ok,True
C4H6O2,.gamma.-butyrolactone,86.85,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1CCCO1,7302.0,oxolan-2-one,ok,True
C3H6O,2-propenol,77.757,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCO,7858.0,prop-2-en-1-ol,ok,True
C4H10O2,"1,3-butanediol",122.922,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CC(O)CCO,7896.0,"butane-1,3-diol",ok,True
C3H2N2,propanedinitrile,72.892,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#CCC#N,8010.0,propanedinitrile,ok,True
C4H6O,divinyl ether,89.714,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=COC=C,8024.0,ethenoxyethene,ok,True
C4H9N,pyrrolidine,84.19,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CCNC1,31268.0,pyrrolidine,ok,True
C2H5N,azacyclopropane,50.878,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CN1,9033.0,aziridine,ok,True
C4H8O2,"2-methyl-1,3-dioxolane",97.726,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC1OCCO1,10342.0,"2-methyl-1,3-dioxolane",ok,True
C4H5N,cyclopropanecarbonitrile,78.47,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#CC1CC1,79637.0,cyclopropanecarbonitrile,ok,True
C3H4,1-propyne,60.192,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CC,6335.0,prop-1-yne,ok,True
CH3NO2,nitromethane,61.319,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C[N+](=O)[O-],6375.0,nitromethane,ok,True
C6H10,3-methylcyclopentene,104.61,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CC1C=CCC1,14263.0,3-methylcyclopentene,ok,True
C2H3N,acetonitrile,51.895,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC#N,6342.0,acetonitrile,ok,True
C3H6O3,dimethyl carbonate,102.179,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(=O)OC,12021.0,dimethyl carbonate,ok,True
N2O4,dinitrogen tetroxide,77.564,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=[N+]([O-])[N+](=O)[O-],25352.0,,ok,True
C4H10O2,"1,2-butanediol",123.662,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(O)CO,11429.0,"butane-1,2-diol",ok,True
C7H14,3-ethyl-1-pentene,148.473,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(CC)CC,19951.0,3-ethylpent-1-ene,ok,True
C3H4O3,ethylene carbonate,78.339,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1OCCO1,7303.0,"1,3-dioxolan-2-one",ok,True
C2H6O,dimethyl ether,63.333,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC,8254.0,methoxymethane,ok,True
C4H4,1-buten-3-yne,71.707,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CC=C,12720.0,but-1-en-3-yne,ok,True
C4H6O,"2,3-dihydrofuran",74.684,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=COCC1,70934.0,"2,3-dihydrofuran",ok,True
C6H15N,triethylamine,152.349,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCN(CC)CC,8471.0,"N,N-diethylethanamine",ok,True
C5H8O2,"2,4-pentanedione",123.275,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,tautomer: (Z)-4-hydroxypent-3-en-2-one,CC(=O)CC(C)=O,31261.0,"pentane-2,4-dione",ok,True
C4H5NO2,succinimide,98.606,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1CCC(=O)N1,11439.0,"pyrrolidine-2,5-dione",ok,True
C7H14,"1,cis-2-dimethylcyclopentane",134.579,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C[C@@H]1CCC[C@@H]1C,14498.0,"cis-(1S,2R)-1,2-dimethylcyclopentane",ok,True
C7H14,"1,1-dimethylcyclopentane",136.142,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC1(C)CCCC1,15421.0,"1,1-dimethylcyclopentane",ok,True
H2,hydrogen,29.121,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,[HH],783.0,molecular hydrogen,ok,True
C7H14,2-methyl-1-hexene,147.593,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)CCCC,22468.0,2-methylhex-1-ene,ok,True
C5H8O2,ethyl propenoate,122.702,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC(=O)OCC,8821.0,ethyl prop-2-enoate,ok,True
C6H15N,dipropylamine,150.209,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCNCCC,8902.0,N-propylpropan-1-amine,ok,True
C7H14,(Z)-3-heptene,146.142,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC/C=C\CCC,5357258.0,(Z)-hept-3-ene,ok,True
C7H14,ethylcyclopentane,132.198,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC1CCCC1,15431.0,ethylcyclopentane,ok,True
N2O5,dinitrogen pentoxide,91.516,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=[N+]([O-])O[N+](=O)[O-],66242.0,nitro nitrate,ok,True
C7H14,"(1R,3R)-1,3-dimethylcyclopentane",134.839,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C[C@@H]1CC[C@@H](C)C1,15656.0,"trans-(1R,3R)-1,3-dimethylcyclopentane",ok,True
C7H14,"1,cis-3-dimethylcyclopentane",135.235,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,failed:None,False
C7H14,3-methyl-1-hexene,148.096,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,C=CC(C)CCC,18848.0,3-methylhex-1-ene,ok,True
C7H14,4-methyl-1-hexene,148.016,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,C=CCC(C)CC,19589.0,4-methylhex-1-ene,ok,True
C5H12O2,diethoxymethane,138.445,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOCOCC,10024.0,ethoxymethoxyethane,ok,True
C7H16,"2,2,3-trimethylbutane",162.691,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)C(C)(C)C,10044.0,"2,2,3-trimethylbutane",ok,True
C5H10O2,3-methylbutanoic acid,132.803,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)CC(=O)O,10430.0,3-methylbutanoic acid,ok,True
C4H5NO2,methyl cyanoethanoate,112.117,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(=O)CC#N,7747.0,methyl 2-cyanoacetate,ok,True
C5H10O2,ethyl propanoate,131.967,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOC(=O)CC,7749.0,ethyl propanoate,ok,True
C5H10O2,2-methylpropyl methanoate,130.524,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,failed:None,False
C5H6N2,pentanedinitrile,113.061,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#CCCCC#N,10994.0,pentanedinitrile,ok,True
C7H16,"3,3-dimethylpentane",160.32,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(C)(C)CC,11229.0,"3,3-dimethylpentane",ok,True
C7H16,"2,3-dimethylpentane",158.723,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)C(C)C,11260.0,"2,3-dimethylpentane",ok,True
C6H12O,3-methyl-2-pentanone,143.48,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)C(C)=O,11262.0,3-methylpentan-2-one,ok,True
C6H12O,2-methyl-3-pentanone,143.173,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(=O)C(C)C,11265.0,2-methylpentan-3-one,ok,True
C7H16,3-methylhexane,156.149,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCCC(C)CC,11507.0,3-methylhexane,ok,True
C6H12O,3-hexanone,140.887,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCC(=O)CC,11509.0,hexan-3-one,ok,True
C7H16,"2,2-dimethylpentane",160.213,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCC(C)(C)C,11542.0,"2,2-dimethylpentane",ok,True
C7H16,2-methylhexane,155.908,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCC(C)C,11582.0,2-methylhexane,ok,True
C7H14,1-heptene,145.11,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCCCCC,11610.0,hept-1-ene,ok,True
C5H10O2,butyl methanoate,127.709,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCOC=O,11614.0,butyl formate,ok,True
C7H14,"2,3,3-trimethyl-1-butene",153.851,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)C(C)(C)C,11669.0,"2,3,3-trimethylbut-1-ene",ok,True
C4H7NO,2-pyrrolidinone,92.271,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1CCCN1,12025.0,pyrrolidin-2-one,ok,True
