mw_bin,0-1,2-4,5-7,8-11,12+
<100,1,1,1,0,0
100-150,1,1,1,1,0
150-200,1,1,1,1,1
200-260,1,1,1,1,1
260-350,1,1,1,1,1
>=350,1,1,1,1,1
