mw_bin,0-1,2-4,5-7,8-11,12+
<100,0,2,12,0,0
100-150,0,0,1,12,0
150-200,2,4,0,0,12
200-260,8,10,8,0,5
260-350,11,11,10,8,3
>=350,11,12,12,12,7
