structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::SFTFNJZWZHASAQ-UHFFFAOYSA-N,"3,5-dibromobenzoic acid",O=C(O)c1cc(Br)cc(Br)c1,C7H4Br2O2,SFTFNJZWZHASAQ-UHFFFAOYSA-N,1,solid,solid,298.2,298.2,101.325,101.325,223.0,223.0,223.0,223.0
inchikey::OSGWQESRDDOJJG-UHFFFAOYSA-N,"3,5-diethyl-1-hexyl-2-propylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCC[n+]1cc(CC)cc(CC)c1CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C20H32F6N2O4S2,OSGWQESRDDOJJG-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,766.0,766.0,766.0,766.0
inchikey::IIRDTKBZINWQAW-UHFFFAOYSA-N,"3,6,9,12,15-pentaoxaheptadecane-1,17-diol",OCCOCCOCCOCCOCCOCCO,C12H26O7,IIRDTKBZINWQAW-UHFFFAOYSA-N,1,liquid,liquid,300.0,300.0,100.0,100.0,616.51719417,616.51719417,616.51719417,616.51719417
inchikey::JLFNLZLINWHATN-UHFFFAOYSA-N,"3,6,9,12-tetraoxatetradecane-1,14-diol",OCCOCCOCCOCCOCCO,C10H22O6,JLFNLZLINWHATN-UHFFFAOYSA-N,1,liquid,liquid,300.0,300.0,100.0,100.0,521.233484862,521.233484862,521.233484862,521.233484862
inchikey::ZNYRFEPBTVGZDN-UHFFFAOYSA-N,"3,6,9,12-tetraoxatridecanol",COCCOCCOCCOCCO,C9H20O5,ZNYRFEPBTVGZDN-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,448.6,448.6,448.6,448.6
inchikey::CFADSIBRSRZBQO-UHFFFAOYSA-N,"3,6-dimethyluracil",Cc1cc(=O)n(C)c(O)n1,C6H8N2O2,CFADSIBRSRZBQO-UHFFFAOYSA-N,1,solid,solid,298.15,298.15,101.325,101.325,187.4,187.4,187.4,187.4
inchikey::OAYXUHPQHDHDDZ-UHFFFAOYSA-N,"3,6-dioxa-1-decanol",CCCCOCCOCCO,C8H18O3,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,360.2,360.2,360.2,360.2
inchikey::XXJWXESWEXIICW-UHFFFAOYSA-N,"3,6-dioxa-1-octanol",CCOCCOCCO,C6H14O3,XXJWXESWEXIICW-UHFFFAOYSA-N,1,liquid,liquid,298.15,298.15,101.325,101.325,301.7,301.7,301.7,301.7
inchikey::ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"3,7-dihydro-1,3-dimethyl-1H-purine-2,6-dione",Cn1c(=O)c2nc[nH]c2n(C)c1=O,C7H8N4O2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1,solid,solid,300.0,300.0,101.325,101.325,195.4,195.4,195.4,195.4
inchikey::NATMUPYZFJLLJZ-UHFFFAOYSA-N,3-(1-methyl-1H-imidazolium-3-yl)propane-1-sulfonate,C[n+]1ccn(CCCS(=O)(=O)[O-])c1,C7H12N2O3S,NATMUPYZFJLLJZ-UHFFFAOYSA-N,1,solid,solid,297.5,297.5,101.325,101.325,224.52,224.52,224.52,224.52
inchikey::PNYMPXLLGQCPDZ-UHFFFAOYSA-N,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),C=C[n+]1ccn(CC(Cn2cc[n+](C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,C16H17N13,PNYMPXLLGQCPDZ-UHFFFAOYSA-N,1,liquid,liquid,298.0,298.0,101.325,101.325,400.0,400.0,400.0,400.0
inchikey::GJMDSVLGZGRCDC-OQLLNIDSSA-N,"3-(2-benzylidenehydrazinyl)-6-(3,5-dimethyl-1H-pyrazol-1-yl)-1,2,4,5-tetrazine",Cc1cc(C)n(-c2nnc(=N/N=C/c3ccccc3)[nH]n2)n1,C14H14N8,GJMDSVLGZGRCDC-OQLLNIDSSA-N,1,solid,solid,298.15,298.15,101.325,101.325,345.68,345.68,345.68,345.68
