phase,rows,unique_compounds,unique_inchikeys,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_median
solid,711,711,711,270.0,328.1,78.8,101.325,12.631,3363.962,234.2
liquid,617,617,617,273.15,328.08,83.0,19489.0,51.503152536,7971.73,301.7
gas,20,20,20,293.15,315.33,100.0,1600.0,77.83717138272,469.0,170.275
glass,8,8,8,295.7,298.34,101.325,101.325,44.06,470.91,160.87599999999998
fluid,6,6,6,290.15,314.29,4324.0,18398.0,73.46330292,207.3181152,139.50092769
