source_file,rows_extracted,root
s10765-007-0182-2.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0185-z.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0186-y.json,10,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0204-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0220-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0223-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0237-4.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0241-8.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0259-y.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0346-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-007-0369-6.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0390-4.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0395-z.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0399-8.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0410-4.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0444-7.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0482-1.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0491-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0497-7.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0503-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0506-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0511-0.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0514-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0535-5.json,121,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0542-6.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-008-0549-z.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0562-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0566-6.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0567-5.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0568-4.json,155,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0570-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0579-1.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0580-8.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0581-7.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0584-4.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0593-3.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0602-6.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0607-1.json,18,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0610-6.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0622-2.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0625-z.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0648-5.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
s10765-009-0651-x.json,0,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/4.export_data_from_NIST_new3/inputs/10.1007
