phase,rows,unique_compounds,unique_inchikeys,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_median
solid,97780,789,782,0.0,2772.0,78.8,400.0,0.0,778028.29,146.234481808
liquid,30836,759,759,88.919,2041.2,1.0,140000.0,38.8,2121000.0,327.34105916
glass,4369,35,35,0.0,905.7,101.325,101.325,0.0,635.4,95.28
fluid,4041,11,11,270.15,637.77,2684.0,28668.0,71.25852192,740.7712704,222.41166902
gas,451,27,27,50.0,3000.0,100.0,10032.0,42.58,897.0,180.72
