Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,14.980131304806175,20.371935570088617,14.980131304806175
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,17.890428864283862,24.01334667089781,17.890428864283862
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,17.647495577441095,22.71993226610269,17.647495577441095
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,16.86879014747719,22.257045358215805,16.86879014747719
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,15.026620329741105,18.979849473654014,15.026620329741105
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,17.771375150035986,25.648188437483856,17.771375150035986
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,20.06204177665015,27.225136512795533,20.06204177665015
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,24.378851412139888,34.83292162223609,24.378851412139888
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,24.29167618477507,38.34218095741007,24.29167618477507
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,51.62904906111868,99.76163974258318,51.62904906111868
