feature,importance
NumValenceElectrons,0.22600726413851294
HeavyAtomCount,0.18510557229727062
LabuteASA,0.12287371579713248
ExactMolWt,0.07767456867078844
MolWt,0.07720329498733844
Kappa1,0.0567458947580975
NumRotatableBonds,0.05132293501021506
Kappa2,0.03640570888139084
MolLogP,0.029767081878660367
Kappa3,0.019993911141497615
NumHAcceptors,0.016763544476526122
HeteroAtomCount,0.014661933124117623
RotPerHeavyAtom,0.013614160231581903
FractionCSP3,0.013010268220105698
CarbonFraction,0.01226381343727648
HeteroAtomFraction,0.01043407165945771
RingCount,0.008281962752274491
TPSA,0.008126267892582152
BalabanJ,0.005923269665468507
RingPerHeavyAtom,0.005334553046903618
NumAromaticRings,0.004562864683480418
NumHDonors,0.0017932516678059133
HalogenCount,0.0016754222673867505
NumAliphaticRings,0.0004546693141283284
FormalCharge,0.0
