feature,importance,importance_std,explanation_type,pair,model
molecular_weight,159.22933859035058,131.44384847809926,shap_linear_mean_abs,molecular_weight + rotatable_bonds,elasticnet
rotatable_bonds,54.15741747879902,50.95955326626132,shap_linear_mean_abs,molecular_weight + rotatable_bonds,elasticnet
