column,count,min,max,mean,median
molecular_weight,665,32.042,928.8740000000014,227.52390662123912,178.228
rotatable_bonds,665,0.0,53.0,5.0285714285714285,3.0
H_bond_donors,665,0.0,8.0,0.5233082706766917,0.0
H_bond_acceptors,665,0.0,16.0,2.219548872180451,2.0
TPSA,665,0.0,199.19,38.25818045112782,26.3
logP,665,-10.87380000000001,19.640200000000007,2.3986863458646623,2.1293
heat_capacity,665,50.199,7971.73,418.5163903532121,322.9
