name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,mw_bin,rb_bin
diptocarpamidine,CC(C)NC(=O)NC(C)C,Thermo_Experimental,C7H16N2O,144.218,2.0,2.0,1.0,41.13,1.1,192,239.94,273.37,100-150,2-4
2-ethylhexyl cyanoacetate,CCCCC(CC)COC(=O)CC#N,Thermo_Experimental,C11H19NO2,197.278,8.0,0.0,3.0,50.09,2.66,32.9,337.99,356.75,150-200,8-11
tributylamine,CCCCN(CCCC)CCCC,Thermo_Experimental,C12H27N,185.355,9.0,0.0,1.0,3.24,3.69,-70,212.78,388.19,150-200,8-11
tetraethyl orthosilicate,CCO[Si](OCC)(OCC)OCC,Thermo_Experimental,C8H20O4Si,208.33,8.0,0.0,4.0,36.92,1.57,-85,168,363.42,200-260,8-11
"1,2-epoxytetradecane",CCCCCCCCCCCCC1CO1,Thermo_Experimental,C14H28O,212.377,11.0,0.0,1.0,12.53,4.7,20,95.56,430.37,200-260,8-11
butadiene monoxide,C=CC1CO1,Thermo_Experimental,C4H6O,70.091,1.0,0.0,1.0,12.53,0.57,-135,68,121.51,<100,0-1
"1,3-dimethylbutylamine",CC(C)CC(C)N,Thermo_Experimental,C6H15N,101.193,2.0,1.0,1.0,26.02,1.38,155.5,108.81,212.7,100-150,2-4
2-(octylthio)ethanol,CCCCCCCCSCCO,Thermo_Experimental,C10H22OS,190.352,9.0,1.0,2.0,20.23,3.07,0,98,358.77,150-200,8-11
ethyl caproate,CCCCCC(=O)OCC,Thermo_Experimental,C8H16O2,144.214,6.0,0.0,2.0,26.3,2.13,-67,165,273.37,100-150,5-7
dodecylamine,CCCCCCCCCCCCN,Thermo_Experimental,C12H27N,185.355,10.0,1.0,1.0,26.02,3.87,29,259,388.19,150-200,8-11
tributyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,Thermo_Experimental,C12H27O4P,266.318,12.0,0.0,4.0,44.76,4.54,-80,289,379.38,260-350,12+
diallyl disulfide,C=CCSSCC=C,Thermo_Experimental,C6H10S2,146.28,5.0,0.0,2.0,0,2.74,-50.49,79,212.73,100-150,5-7
"2,6-dimethyl-2-heptanol",CC(C)CCCC(C)(C)O,Thermo_Experimental,C9H20O,144.258,4.0,1.0,1.0,20.23,2.58,-10,170,296.51,100-150,2-4
1-vinylazepan-2-one,C=CN1CCCCCC1=O,Thermo_Experimental,C8H13NO,139.198,1.0,0.0,1.0,20.31,1.53,34,210.65,249.71,100-150,0-1
