name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,mw_bin,rb_bin
gamma-nonalactone,CCCCCC1CCC(=O)O1,Thermo_Experimental,C9H16O2,156.225,4.0,0.0,2.0,26.3,2.27,-21.69,134,288.47,150-200,2-4
tert-butylamine,CC(C)(C)N,Thermo_Experimental,C4H11N,73.139,0.0,1.0,1.0,26.02,0.74,-67.5,44.02,154.2,<100,0-1
10-undecenal,C=CCCCCCCCCC=O,Thermo_Experimental,C11H20O,168.28,9.0,0.0,1.0,17.07,3.49,-19.18,99,329.25,150-200,8-11
dichlorvos,COP(=O)(OC)OC=C(Cl)Cl,Thermo_Experimental,C4H7Cl2O4P,220.976,4.0,0.0,4.0,44.76,2.68,83.89,140,229.79,200-260,2-4
"n,n-dimethylisopropylamine",CC(C)N(C)C,Thermo_Experimental,C5H13N,87.166,1.0,0.0,1.0,3.24,0.96,-109.57,66,183.45,<100,0-1
"n,n-dimethyldipropylenetriamine",CN(C)CCCNCCCN,Thermo_Experimental,C8H21N3,159.277,7.0,2.0,3.0,41.29,-0.12,75.16,244.63,321.42,150-200,5-7
dimethyl sulfate,COS(=O)(=O)OC,Thermo_Experimental,C2H6O4S,126.133,2.0,0.0,4.0,52.6,-0.48,-29.5,186,159.56,100-150,2-4
dimethylamine,CNC,Thermo_Experimental,C2H7N,45.085,0.0,1.0,1.0,12.03,-0.16,-92,7.3,95.68,<100,0-1
2-ethylhexyl stearate,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,Thermo_Experimental,C26H52O2,396.7,23.0,0.0,2.0,26.3,9.01,136.96,579.11,802.16,>=350,12+
isocetyl stearate,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,Thermo_Experimental,C34H68O2,508.916,31.0,0.0,2.0,26.3,12.13,227.12,762.15,1036.43,>=350,12+
oxazolidine e,CCC12COCN1COC2,Thermo_Experimental,C7H13NO2,143.186,1.0,0.0,3.0,21.7,0.41,41.61,175.61,252.13,100-150,0-1
butoctamide semisuccinate,CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,Thermo_Experimental,C16H29NO5,315.41,13.0,2.0,4.0,92.7,2.51,46.5,599.42,557.83,260-350,12+
trans-cinnamaldehyde,O=C/C=C/c1ccccc1,Thermo_Experimental,C9H8O,132.162,2.0,0.0,1.0,17.07,1.9,-7.5,253,207.34,100-150,2-4
"dimethyl 3,3'-thiodipropionate",COC(=O)CCSCCC(=O)OC,Thermo_Experimental,C8H14O4S,206.263,8.0,0.0,5.0,52.6,0.85,25.83,294.71,314.26,200-260,8-11
3-chloropivaloyl chloride,CC(C)(CCl)C(=O)Cl,Thermo_Experimental,C5H8Cl2O,155.024,2.0,0.0,1.0,17.07,2.02,-14.85,111,196.32,150-200,2-4
gamma-heptalactone,CCCC1CCC(=O)O1,Thermo_Experimental,C7H12O2,128.171,2.0,0.0,2.0,26.3,1.49,-44.23,151.57,228.66,100-150,2-4
gamma-valerolactone,CC1CCC(=O)O1,Thermo_Experimental,C5H8O2,100.117,0.0,0.0,2.0,26.3,0.71,-31,207.55,168.12,100-150,0-1
4-methyl-2-pentanol,CC(C)CC(C)O,Thermo_Experimental,C6H14O,102.177,2.0,1.0,1.0,20.23,1.41,-90,132,208.72,100-150,2-4
propylene carbonate,CC1COC(=O)O1,Thermo_Experimental,C4H6O3,102.089,0.0,0.0,3.0,35.53,0.54,-49,241.6,166.73,100-150,0-1
triisobutyl phosphate,CC(C)COP(=O)(OCC(C)C)OCC(C)C,Thermo_Experimental,C12H27O4P,266.318,9.0,0.0,4.0,44.76,4.11,-60,264,477.73,260-350,8-11
hydroxypivalyl hydroxypivalate,CC(C)(CO)COC(=O)C(C)(C)CO,Thermo_Experimental,C10H20O4,204.266,6.0,2.0,4.0,66.76,0.57,126,391.37,368.2,200-260,5-7
heptamethyleneimine,C1CCCNCCC1,Thermo_Experimental,C7H15N,113.204,0.0,1.0,1.0,12.03,1.54,29,174.5,229.83,100-150,0-1
bis(2-ethylhexyl) maleate,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,Thermo_Experimental,C20H36O4,340.504,16.0,0.0,4.0,52.6,5.06,-60,164,636.42,260-350,12+
allylacetic acid,C=CCCC(=O)O,Thermo_Experimental,C5H8O2,100.117,3.0,1.0,1.0,37.3,1.04,-22.25,188.5,168.12,100-150,2-4
methyl isocyanate,CN=C=O,Thermo_Experimental,C2H3NO,57.052,0.0,0.0,2.0,29.43,-0.05,-80,38.3,82.78,<100,0-1
"n,n'-diethylthiourea",CCNC(=S)NCC,Thermo_Experimental,C5H12N2S,132.232,2.0,2.0,1.0,24.06,0.49,143.89,287,223.51,100-150,2-4
diethyl maleate,CCOC(=O)/C=C\C(=O)OCC,Thermo_Experimental,C8H12O4,172.18,6.0,0.0,4.0,52.6,0.67,1.5,218,274.7,150-200,5-7
2-methyl-2-propanethiol,CC(C)(C)S,Thermo_Experimental,C4H10S,90.191,0.0,1.0,1.0,0,1.71,-35.56,64.2,162.49,<100,0-1
oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,Thermo_Experimental,C18H34O2,282.468,15.0,1.0,1.0,37.3,6.11,14,286.11,548.92,260-350,12+
1-(1-butoxy-2-propoxy)-2-propanol,CCCCOCC(C)OCC(C)O,Thermo_Experimental,C10H22O3,190.283,8.0,1.0,3.0,38.69,1.59,4.59,291.39,365.08,150-200,8-11
"trans-1,2-dichloroethylene",Cl/C=C/Cl,Thermo_Experimental,C2H2Cl2,96.944,0.0,0.0,0.0,0,1.94,-49.8,47.64,79.27,<100,0-1
"cis-1,2-dichloroethene",Cl/C=C\Cl,Thermo_Experimental,C2H2Cl2,96.944,0.0,0.0,0.0,0,1.94,-80,60,79.27,<100,0-1
trimethoxymethane,COC(OC)OC,Thermo_Experimental,C4H10O3,106.121,3.0,0.0,3.0,27.69,0.21,-19,100,186.52,100-150,2-4
citronellyl butyrate,CCCC(=O)OCCC(C)CCC=C(C)C,Thermo_Experimental,C14H26O2,226.36,9.0,0.0,2.0,26.3,4.1,-17.32,245,436.56,200-260,8-11
1-(4-fluorophenyl)-4-oxocyclohexanecarbonitrile,N#CC1(c2ccc(F)cc2)CCC(=O)CC1,Thermo_Experimental,C13H12FNO,217.243,1.0,0.0,2.0,40.86,2.73,82,444.51,327.19,200-260,0-1
"butanoic acid, 2-butoxy-1-methyl-2-oxoethyl ester",CCCCOC(=O)C(C)OC(=O)CCC,Thermo_Experimental,C11H20O4,216.277,9.0,0.0,4.0,52.6,2.06,10.24,294.13,382.71,200-260,8-11
n-vinyl-2-pyrrolidone,C=CN1CCCC1=O,Thermo_Experimental,C6H9NO,111.144,1.0,0.0,1.0,20.31,0.75,13.5,96,195.19,100-150,0-1
cyclododecane,C1CCCCCCCCCCC1,Thermo_Experimental,C12H24,168.324,0.0,0.0,0.0,0,4.68,60.7,244,326.09,150-200,0-1
isoamyl nitrite,CC(C)CCON=O,Thermo_Experimental,C5H11NO2,117.148,3.0,0.0,3.0,38.66,1.73,-80,99,207.6,100-150,2-4
1-bromotetradecane,CCCCCCCCCCCCCCBr,Thermo_Experimental,C14H29Br,277.29,12.0,0.0,0.0,0,6.08,5.3,307,484.28,260-350,12+
molybdenum trioxide,O=[Mo](=O)=O,Thermo_Experimental,MoO3,143.937,0.0,0.0,3.0,51.21,-0.36,795,1155,126.95,100-150,0-1
bis(2-ethylhexyl) hydrogen phosphate,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,Thermo_Experimental,C16H35O4P,322.426,14.0,1.0,3.0,55.76,5.55,-60,155,597.22,260-350,12+
dibutyl adipate,CCCCOC(=O)CCCCC(=O)OCCCC,Thermo_Experimental,C14H26O4,258.358,13.0,0.0,4.0,52.6,3.23,-32.4,305.05,456.49,200-260,12+
"2,4-dimethylphenol",Cc1ccc(O)c(C)c1,Thermo_Experimental,C8H10O,122.167,0.0,1.0,1.0,20.23,2.01,24.5,210.94,210.49,100-150,0-1
chromium(iii) oxide,O=[Cr]O[Cr]=O,Thermo_Experimental,Cr2O3,151.989,0.0,0.0,3.0,43.37,-0.31,2432,3000,156.9,150-200,0-1
