mw_bin,0-1,2-4,5-7,8-11,12+
<100,23,10,0,0,0
100-150,16,33,11,0,0
150-200,10,8,18,16,0
200-260,4,2,4,13,7
260-350,1,1,2,4,9
>=350,1,0,0,0,5
