feature,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,skipped,skip_reason
H_bond_acceptors,gbr,198,106.02478353551774,12.66810928554586,143.52980640970972,0.02365944595939269,False,
H_bond_donors,svr,198,111.5219182527257,13.329063918936408,150.36296873111368,-0.06932036055083592,False,
TPSA,linear,198,108.52516913985541,12.71871620689528,145.4684924429802,-0.001958820523015332,False,
boiling_point,gbr,198,87.74637187965344,10.687906273395596,124.29223285781714,0.24929798009107457,False,
logP,linear,198,70.38379033922403,10.104158953718441,94.62239837633453,0.5321550829952156,False,
melting_point,svr,198,106.15176160525007,13.678340104381268,145.9429586046302,-0.002228688316038403,False,
molecular_weight,rf,198,50.547121290704766,8.984652648527094,78.96490703829232,0.6771814452320062,False,
rotatable_bonds,elasticnet,198,43.27999617938966,4.981827335776859,58.64858851826759,0.8220664873090958,False,
