,heat_capacity,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point
heat_capacity,1.0,0.8344647797898634,0.9186743672241439,0.0006785711616584851,0.2835695704863442,0.21875285968898106,0.7772973746635979,-0.049118384770191814,0.13737302641606203
molecular_weight,0.8344647797898634,1.0,0.7155645619801068,-0.1259651102340065,0.2638515968851082,0.16932489938209283,0.7150991420408211,0.14082789771343282,0.3185953799453114
rotatable_bonds,0.9186743672241439,0.7155645619801068,1.0,-0.010114429452593244,0.2882799392205182,0.23020853729366975,0.7289432941992102,-0.07306824742051997,0.1112012032412385
H_bond_donors,0.0006785711616584851,-0.1259651102340065,-0.010114429452593244,1.0,0.07520944636652345,0.36849903198471945,-0.3019823404400121,0.0196530672860738,-0.003736704434696735
H_bond_acceptors,0.2835695704863442,0.2638515968851082,0.2882799392205182,0.07520944636652345,1.0,0.8045184667587364,-0.2215711677114006,0.10023339065709885,0.09317348960870234
TPSA,0.21875285968898106,0.16932489938209283,0.23020853729366975,0.36849903198471945,0.8045184667587364,1.0,-0.3088650797207256,0.15937536091757695,0.13702130016205383
logP,0.7772973746635979,0.7150991420408211,0.7289432941992102,-0.3019823404400121,-0.2215711677114006,-0.3088650797207256,1.0,-0.09598808616445319,0.08831009241451282
melting_point,-0.049118384770191814,0.14082789771343282,-0.07306824742051997,0.0196530672860738,0.10023339065709885,0.15937536091757695,-0.09598808616445319,1.0,0.8875035619272179
boiling_point,0.13737302641606203,0.3185953799453114,0.1112012032412385,-0.003736704434696735,0.09317348960870234,0.13702130016205383,0.08831009241451282,0.8875035619272179,1.0
