feature,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,skipped,skip_reason
rotatable_bonds,elasticnet,198,43.27999617938966,4.981827335776859,58.64858851826759,0.8220664873090958,False,
rotatable_bonds,ridge,198,43.28317574818052,4.98009753832599,58.645405965426875,0.8220646244053356,False,
rotatable_bonds,linear,198,43.31818708257129,4.9625979954093715,58.6238079831126,0.8220096087201471,False,
rotatable_bonds,gbr,198,44.76554150078751,5.828297856900765,62.101264788402744,0.8056547556674422,False,
rotatable_bonds,rf,198,44.85742357431649,6.501114699134711,63.270659184315384,0.8004003769442501,False,
molecular_weight,rf,198,50.547121290704766,8.984652648527094,78.96490703829232,0.6771814452320062,False,
molecular_weight,gbr,198,50.84362539054128,9.100642641192502,81.87657294909062,0.6424877631380589,False,
molecular_weight,linear,198,52.10499369447774,8.012461346201059,83.79535370682974,0.62805550502809,False,
molecular_weight,ridge,198,52.229606256213984,7.965975810063253,83.8233484323454,0.6287389078530027,False,
molecular_weight,elasticnet,198,52.2444106730782,7.960578039776871,83.82717136781464,0.6288086364026121,False,
rotatable_bonds,svr,198,58.418821711123385,11.20974936746896,94.81384070137497,0.5803441209422487,False,
molecular_weight,svr,198,62.60958754934244,10.428507638518152,105.22074780597615,0.47776957406522663,False,
logP,linear,198,70.38379033922403,10.104158953718441,94.62239837633453,0.5321550829952156,False,
logP,ridge,198,70.41604935089308,10.068967119472116,94.6360257053038,0.5326233789093412,False,
logP,elasticnet,198,70.41982943518424,10.064982530062233,94.63795404417098,0.5326713947796567,False,
logP,gbr,198,72.94676594761812,10.74779489534624,97.13518391794581,0.5214406054338339,False,
logP,svr,198,75.54072190583513,12.3226680523068,109.89849085025105,0.43264269153314955,False,
logP,rf,198,76.78030888707008,11.270827268151525,99.97231164242649,0.49087224501316923,False,
boiling_point,gbr,198,87.74637187965344,10.687906273395596,124.29223285781714,0.24929798009107457,False,
boiling_point,svr,198,89.72716683714334,11.8322901992055,129.76531346178209,0.20574825096969832,False,
boiling_point,rf,198,94.19631266632805,12.01241201272821,128.62667410930527,0.18476112512087886,False,
H_bond_acceptors,gbr,198,106.02478353551774,12.66810928554586,143.52980640970972,0.02365944595939269,False,
H_bond_acceptors,svr,198,106.04309413792753,13.065278633841777,144.85877809162557,0.00925076326401223,False,
H_bond_acceptors,rf,198,106.0807777793026,12.696094411539503,143.578874307389,0.022911753357236702,False,
melting_point,svr,198,106.15176160525007,13.678340104381268,145.9429586046302,-0.002228688316038403,False,
H_bond_acceptors,elasticnet,198,106.44278998280268,11.685577451194918,142.92112995659846,0.03146091823972193,False,
H_bond_acceptors,ridge,198,106.4438571996137,11.685327497089983,142.92159656462331,0.031447923722028225,False,
H_bond_acceptors,linear,198,106.45419825336364,11.683070873702658,142.9263434271867,0.03132672942316718,False,
TPSA,linear,198,108.52516913985541,12.71871620689528,145.4684924429802,-0.001958820523015332,False,
TPSA,ridge,198,108.52673659990965,12.715067649142629,145.4630667831788,-0.0018568699049164804,False,
TPSA,elasticnet,198,108.52701794342221,12.714615882063708,145.4625209118207,-0.0018461147946936029,False,
TPSA,svr,198,109.35240991106792,13.403760654802854,147.9477658848536,-0.032808396237399715,False,
melting_point,gbr,198,110.32709278613153,12.272696109108995,151.44454991525893,-0.10353062376522669,False,
H_bond_donors,svr,198,111.5219182527257,13.329063918936408,150.36296873111368,-0.06932036055083592,False,
boiling_point,elasticnet,198,111.80102662276393,13.3460300139987,155.7313950219717,-0.19657200987628518,False,
boiling_point,ridge,198,111.80104103892985,13.347397025887203,155.7411818315453,-0.19679896620585016,False,
boiling_point,linear,198,111.80269059673265,13.358978794536904,155.8237565574182,-0.1987043415219562,False,
melting_point,elasticnet,198,112.2135343410742,12.896138193727912,149.2434176645712,-0.056236806308958914,False,
melting_point,ridge,198,112.21412075354063,12.896330138241277,149.2445408122098,-0.05625490724524537,False,
melting_point,linear,198,112.21793936810404,12.897024469626556,149.25134390964732,-0.05636424797333353,False,
H_bond_donors,gbr,198,112.39738518173039,13.217300934783852,149.66924590948113,-0.06156409613895158,False,
H_bond_donors,elasticnet,198,112.57709672698383,12.823726994509164,149.57970470013868,-0.06057096323688546,False,
H_bond_donors,ridge,198,112.57806585577087,12.823852654061227,149.58102375296926,-0.06059070414501321,False,
H_bond_donors,linear,198,112.58380147367298,12.824738232710237,149.5887270381089,-0.0607055390531927,False,
TPSA,rf,198,112.8775943790372,14.334768618822155,148.74226296273258,-0.053441411788869096,False,
H_bond_donors,rf,198,113.0236803478283,12.795585999747065,150.08955358049613,-0.0684191380600529,False,
TPSA,gbr,198,113.33779595446978,14.606436316101151,151.35654217306606,-0.08976134241172229,False,
melting_point,rf,198,115.60672742554802,11.907459913733202,155.25933766300994,-0.1556955134200041,False,
