,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point
molecular_weight,,1.0239042707683799,0.7969068272258193,0.8236945051840103,0.8246475912273579,0.847324979086622,0.7946681996761542,0.8242532244334231
rotatable_bonds,1.0239042707683799,,0.862905788695308,0.8632362740901574,0.8436054080167044,0.934568544764937,0.9029431147804267,0.9198254713211732
H_bond_donors,0.7969068272258193,0.862905788695308,,0.17944353968375104,0.17260103474991118,0.48208965024438255,0.13174379072349374,0.41967458491875
H_bond_acceptors,0.8236945051840103,0.8632362740901574,0.17944353968375104,,0.1463338410652526,0.6658310764390871,0.21057952150419568,0.36698907680154114
TPSA,0.8246475912273579,0.8436054080167044,0.17260103474991118,0.1463338410652526,,0.6434677103785111,0.1906916875733391,0.32413022880192344
logP,0.847324979086622,0.934568544764937,0.48208965024438255,0.6658310764390871,0.6434677103785111,,0.5359934902692054,0.6983039165731878
melting_point,0.7946681996761542,0.9029431147804267,0.13174379072349374,0.21057952150419568,0.1906916875733391,0.5359934902692054,,0.3645861736541147
boiling_point,0.8242532244334231,0.9198254713211732,0.41967458491875,0.36698907680154114,0.32413022880192344,0.6983039165731878,0.3645861736541147,
