feature_1,feature_2,model,n_samples_used,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,best_single_mae_among_pair_features,mae_improvement_over_best_single,pearson_f1_cp,pearson_f2_cp,spearman_f1_cp,spearman_f2_cp,pair_pearson_corr,pair_spearman_corr,pair_redundancy_flag,ig_pair,ig_pair_gain_over_best_single,ig_feature_1,ig_feature_2,ig_n_rows,skipped,skip_reason
molecular_weight,rotatable_bonds,elasticnet,198,33.18257775348244,3.9400859902464096,45.68765098735701,0.89164060473283,43.27999617938966,10.097418425907222,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
molecular_weight,rotatable_bonds,ridge,198,33.18906544743763,3.9400995013628486,45.687733052012845,0.8916435586823868,43.27999617938966,10.090930731952035,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
molecular_weight,rotatable_bonds,linear,198,33.24610406710228,3.940905415050136,45.69576638898141,0.8916338494907652,43.27999617938966,10.033892112287383,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
molecular_weight,rotatable_bonds,rf,198,36.01676868976097,6.399331443061197,54.24598298305329,0.8523604681717974,43.27999617938966,7.26322748962869,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
molecular_weight,rotatable_bonds,gbr,198,36.38088369240862,4.90497626935812,51.13469620251087,0.8694597280623693,43.27999617938966,6.899112486981046,0.8344647797898637,0.9186743672241442,0.8387825507550014,0.857004422556517,0.7155645619801079,0.6984493921379618,False,1.0239042707683799,0.23178899081619286,0.7009624198539596,0.792115279952187,198,False,
rotatable_bonds,logP,elasticnet,198,41.46300994066657,5.027939493606269,55.324209658648854,0.8404726857163496,43.27999617938966,1.8169862387230893,0.9186743672241442,0.7772973746635984,0.857004422556517,0.6826223255844466,0.7289432941992107,0.6030043110321045,False,0.934568544764937,0.14245326481275,0.792115279952187,0.40834526245874136,198,False,
rotatable_bonds,logP,ridge,198,41.46373744370014,5.027152456987669,55.32576927850098,0.840462142935373,43.27999617938966,1.816258735689523,0.9186743672241442,0.7772973746635984,0.857004422556517,0.6826223255844466,0.7289432941992107,0.6030043110321045,False,0.934568544764937,0.14245326481275,0.792115279952187,0.40834526245874136,198,False,
rotatable_bonds,logP,linear,198,41.47141929380282,5.020667770768815,55.34704595922155,0.8403310193768572,43.27999617938966,1.8085768855868452,0.9186743672241442,0.7772973746635984,0.857004422556517,0.6826223255844466,0.7289432941992107,0.6030043110321045,False,0.934568544764937,0.14245326481275,0.792115279952187,0.40834526245874136,198,False,
rotatable_bonds,boiling_point,rf,198,41.602384798223376,6.202646365134862,57.55990029458056,0.8368325152977277,43.27999617938966,1.6776113811662867,0.9186743672241442,0.1373730264160619,0.857004422556517,0.5358102744246874,0.11120120324123856,0.3751396016412151,False,0.9198254713211732,0.1277101913689862,0.792115279952187,0.23872781589235248,198,False,
rotatable_bonds,boiling_point,gbr,198,41.64281988154331,5.393381783035553,56.70192038425226,0.8407185231127999,43.27999617938966,1.6371762978463522,0.9186743672241442,0.1373730264160619,0.857004422556517,0.5358102744246874,0.11120120324123856,0.3751396016412151,False,0.9198254713211732,0.1277101913689862,0.792115279952187,0.23872781589235248,198,False,
rotatable_bonds,logP,gbr,198,42.73315105539347,5.718281259666735,57.05189758946514,0.8374371859065409,43.27999617938966,0.5468451239961922,0.9186743672241442,0.7772973746635984,0.857004422556517,0.6826223255844466,0.7289432941992107,0.6030043110321045,False,0.934568544764937,0.14245326481275,0.792115279952187,0.40834526245874136,198,False,
rotatable_bonds,H_bond_donors,elasticnet,198,43.5192409818716,5.06066807634765,58.943446349201906,0.8202375348077762,43.27999617938966,-0.23924480248193447,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
rotatable_bonds,H_bond_donors,ridge,198,43.52300108717016,5.0595513257887585,58.94064146938526,0.8202329720390654,43.27999617938966,-0.24300490778049522,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
rotatable_bonds,TPSA,elasticnet,198,43.530243263705536,5.11469019544782,59.014140119165916,0.8199465252001826,43.27999617938966,-0.2502470843158733,0.9186743672241442,0.21875285968898114,0.857004422556517,0.22252892347644967,0.2302085372936698,0.27635165235044146,False,0.8436054080167044,0.05149012806451736,0.792115279952187,0.03937921506054454,198,False,
rotatable_bonds,TPSA,ridge,198,43.534150291148315,5.112654740734344,59.01165634844698,0.8199416622918839,43.27999617938966,-0.2541541117586519,0.9186743672241442,0.21875285968898114,0.857004422556517,0.22252892347644967,0.2302085372936698,0.27635165235044146,False,0.8436054080167044,0.05149012806451736,0.792115279952187,0.03937921506054454,198,False,
rotatable_bonds,H_bond_donors,linear,198,43.55725591258107,5.048980424999506,58.919328533830324,0.8201720634522673,43.27999617938966,-0.27725973319140707,0.9186743672241442,0.0006785711616585098,0.857004422556517,-0.0025430764720517016,-0.010114429452593237,0.008390419523654304,False,0.862905788695308,0.07079050874312098,0.792115279952187,0.02386572061466863,198,False,
rotatable_bonds,TPSA,linear,198,43.577327371627554,5.090046128989552,58.993364097849074,0.8198782541537425,43.27999617938966,-0.2973311922378912,0.9186743672241442,0.21875285968898114,0.857004422556517,0.22252892347644967,0.2302085372936698,0.27635165235044146,False,0.8436054080167044,0.05149012806451736,0.792115279952187,0.03937921506054454,198,False,
rotatable_bonds,H_bond_acceptors,elasticnet,198,43.64539077772341,5.219619044006213,58.970392879249424,0.8200389450727786,43.27999617938966,-0.36539459833374366,0.9186743672241442,0.28356957048634435,0.857004422556517,0.28897069740063147,0.28827993922051864,0.31008315864547964,False,0.8632362740901574,0.07112099413797035,0.792115279952187,0.05207864109597993,198,False,
rotatable_bonds,H_bond_acceptors,ridge,198,43.647761719719796,5.2178499762798936,58.967767754109026,0.8200324225828095,43.27999617938966,-0.367765540330133,0.9186743672241442,0.28356957048634435,0.857004422556517,0.28897069740063147,0.28827993922051864,0.31008315864547964,False,0.8632362740901574,0.07112099413797035,0.792115279952187,0.05207864109597993,198,False,
