feature_1,feature_2,ig_n_rows,ig_feature_1,ig_feature_2,ig_pair,ig_pair_gain_over_best_single
molecular_weight,rotatable_bonds,198,0.7009624198539596,0.792115279952187,1.0239042707683799,0.23178899081619286
molecular_weight,H_bond_donors,198,0.7009624198539596,0.02386572061466863,0.7969068272258193,0.09594440737185972
molecular_weight,H_bond_acceptors,198,0.7009624198539596,0.05207864109597993,0.8236945051840103,0.12273208533005076
molecular_weight,TPSA,198,0.7009624198539596,0.03937921506054454,0.8246475912273579,0.1236851713733983
molecular_weight,logP,198,0.7009624198539596,0.40834526245874136,0.847324979086622,0.1463625592326624
molecular_weight,melting_point,198,0.7009624198539596,0.06156896210398832,0.7946681996761542,0.09370577982219463
molecular_weight,boiling_point,198,0.7009624198539596,0.23872781589235248,0.8242532244334231,0.12329080457946351
rotatable_bonds,H_bond_donors,198,0.792115279952187,0.02386572061466863,0.862905788695308,0.07079050874312098
rotatable_bonds,H_bond_acceptors,198,0.792115279952187,0.05207864109597993,0.8632362740901574,0.07112099413797035
rotatable_bonds,TPSA,198,0.792115279952187,0.03937921506054454,0.8436054080167044,0.05149012806451736
rotatable_bonds,logP,198,0.792115279952187,0.40834526245874136,0.934568544764937,0.14245326481275
rotatable_bonds,melting_point,198,0.792115279952187,0.06156896210398832,0.9029431147804267,0.11082783482823966
rotatable_bonds,boiling_point,198,0.792115279952187,0.23872781589235248,0.9198254713211732,0.1277101913689862
H_bond_donors,H_bond_acceptors,198,0.02386572061466863,0.05207864109597993,0.17944353968375104,0.1273648985877711
H_bond_donors,TPSA,198,0.02386572061466863,0.03937921506054454,0.17260103474991118,0.13322181968936664
H_bond_donors,logP,198,0.02386572061466863,0.40834526245874136,0.48208965024438255,0.07374438778564119
H_bond_donors,melting_point,198,0.02386572061466863,0.06156896210398832,0.13174379072349374,0.07017482861950541
H_bond_donors,boiling_point,198,0.02386572061466863,0.23872781589235248,0.41967458491875,0.1809467690263975
H_bond_acceptors,TPSA,198,0.05207864109597993,0.03937921506054454,0.1463338410652526,0.09425519996927267
H_bond_acceptors,logP,198,0.05207864109597993,0.40834526245874136,0.6658310764390871,0.25748581398034576
H_bond_acceptors,melting_point,198,0.05207864109597993,0.06156896210398832,0.21057952150419568,0.14901055940020735
H_bond_acceptors,boiling_point,198,0.05207864109597993,0.23872781589235248,0.36698907680154114,0.12826126090918866
TPSA,logP,198,0.03937921506054454,0.40834526245874136,0.6434677103785111,0.23512244791976977
TPSA,melting_point,198,0.03937921506054454,0.06156896210398832,0.1906916875733391,0.12912272546935077
TPSA,boiling_point,198,0.03937921506054454,0.23872781589235248,0.32413022880192344,0.08540241290957096
logP,melting_point,198,0.40834526245874136,0.06156896210398832,0.5359934902692054,0.12764822781046403
logP,boiling_point,198,0.40834526245874136,0.23872781589235248,0.6983039165731878,0.28995865411444643
melting_point,boiling_point,198,0.06156896210398832,0.23872781589235248,0.3645861736541147,0.12585835776176224
