feature,exists,non_null_count,non_null_ratio,unique_count,variance,std,pearson_with_cp,spearman_with_cp,abs_pearson_with_cp,abs_spearman_with_cp,retained,drop_reason
molecular_weight,True,198,1.0,176,6866.393614513587,82.86370504939775,0.8344647797898637,0.8387825507550014,0.8344647797898637,0.8387825507550014,True,retained
rotatable_bonds,True,198,1.0,20,25.79277547044045,5.078658825953998,0.9186743672241442,0.857004422556517,0.9186743672241442,0.857004422556517,True,retained
H_bond_donors,True,198,1.0,5,0.49451366456442597,0.7032166554941841,0.0006785711616585098,-0.0025430764720517016,0.0006785711616585098,0.0025430764720517016,True,retained
H_bond_acceptors,True,198,1.0,7,1.7537814695175102,1.3243041453976916,0.28356957048634435,0.28897069740063147,0.28356957048634435,0.28897069740063147,True,retained
TPSA,True,198,1.0,65,414.3986464056812,20.356783793263638,0.21875285968898114,0.22252892347644967,0.21875285968898114,0.22252892347644967,True,retained
logP,True,198,1.0,174,4.138137014818234,2.034241139791012,0.7772973746635984,0.6826223255844466,0.7772973746635984,0.6826223255844466,True,retained
melting_point,True,198,1.0,173,44737.576108629444,211.51259089857854,-0.04911838477019179,0.17312100720536885,0.04911838477019179,0.17312100720536885,True,retained
boiling_point,True,198,1.0,186,73709.03178899913,271.4940732115512,0.1373730264160619,0.5358102744246874,0.1373730264160619,0.5358102744246874,True,retained
