name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
4-methoxy-4-oxobutanoic acid,COC(=O)CCC(=O)O,Thermo_Experimental,C5H8O4,132.115,4,1,3,63.6,0.02,57.75,244.58,198.73,COC(=O)CCC(=O)O
2-butoxyethanol,CCCCOCCO,Thermo_Experimental,C6H14O2,118.176,5,1,2,29.46,0.8,-70.0,171.0,272.88,CCCCOCCO
eptc,CCCN(CCC)C(=O)SCC,Thermo_Experimental,C9H19NOS,189.324,6,0,2,20.31,2.98,34.84,127.22,337.62,CCCN(CCC)C(=O)SCC
"1,1-dichloroacetone",CC(=O)C(Cl)Cl,Thermo_Experimental,C3H4Cl2O,126.97,1,0,1,17.07,1.38,-54.81,120.0,128.27,CC(=O)C(Cl)Cl
triethylene glycol monobutyl ether,CCCCOCCOCCOCCO,Thermo_Experimental,C10H22O4,206.282,11,1,4,47.92,0.83,-35.2,278.0,383.24,CCCCOCCOCCOCCO
diethyl malonate,CCOC(=O)CC(=O)OCC,Thermo_Experimental,C7H12O4,160.169,6,0,4,52.6,0.5,-50.0,200.0,299.78,CCOC(=O)CC(=O)OCC
1-nonanol,CCCCCCCCCO,Thermo_Experimental,C9H20O,144.258,7,1,1,20.23,2.73,-5.0,213.7,340.52,CCCCCCCCCO
dihexylamine,CCCCCCNCCCCCC,Thermo_Experimental,C12H27N,185.355,10,1,1,12.03,3.74,-5.05,236.0,388.19,CCCCCCNCCCCCC
bis(2-ethylhexyl) sebacate,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,Thermo_Experimental,C26H50O4,426.682,23,0,4,52.6,7.63,-48.0,248.0,827.99,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
diethyl ethylphosphonate,CCOP(=O)(CC)OCC,Thermo_Experimental,C6H15O3P,166.157,5,0,3,35.53,2.27,197.78,82.5,279.84,CCOP(=O)(CC)OCC
hydrazine,NN,Thermo_Experimental,H4N2,32.046,0,2,2,52.04,-1.18,2.0,113.55,98.83,NN
methyl carbazate,COC(=O)NN,Thermo_Experimental,C2H6N2O2,90.082,1,2,3,64.35,-0.78,72.0,153.13,139.04,COC(=O)NN
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Thermo_Experimental,C17H18F3NO,309.331,6,1,2,21.26,4.44,180.5,395.1,467.02,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
methional,CSCCC=O,Thermo_Experimental,C4H8OS,104.174,3,0,2,17.07,0.94,-58.0,62.0,161.84,CSCCC=O
pivaloyl chloride,CC(C)(C)C(=O)Cl,Thermo_Experimental,C5H9ClO,120.579,1,0,1,17.07,1.8,-57.0,40.83,185.58,CC(C)(C)C(=O)Cl
2-ethylhexyl chloroformate,CCCCC(CC)COC(=O)Cl,Thermo_Experimental,C9H17ClO2,192.686,7,0,2,26.3,3.58,-24.71,207.0,324.59,CCCCC(CC)COC(=O)Cl
"1,2,5,6,9,10-hexabromocyclododecane",BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,Thermo_Experimental,C12H18Br6,641.7,0,0,0,0.0,6.92,167.0,619.79,480.37,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
ethyl nonanoate,CCCCCCCCC(=O)OCC,Thermo_Experimental,C11H22O2,186.295,9,0,2,26.3,3.3,-44.5,119.0,361.94,CCCCCCCCC(=O)OCC
octanenitrile,CCCCCCCC#N,Thermo_Experimental,C8H15N,125.215,5,0,1,23.79,2.87,-45.6,202.0,246.11,CCCCCCCC#N
ethyl myristate,CCCCCCCCCCCCCC(=O)OCC,Thermo_Experimental,C16H32O2,256.43,14,0,2,26.3,5.25,12.15,179.0,508.96,CCCCCCCCCCCCCC(=O)OCC
9-decen-1-ol,C=CCCCCCCCCO,Thermo_Experimental,C10H20O,156.269,8,1,1,20.23,2.9,-13.0,236.0,313.16,C=CCCCCCCCCO
hexadecylamine,CCCCCCCCCCCCCCCCN,Thermo_Experimental,C16H35N,241.463,14,1,1,26.02,5.43,46.8,321.0,505.18,CCCCCCCCCCCCCCCCN
lethane,CCCCOCCOCCSC#N,Thermo_Experimental,C9H17NO2S,203.307,9,0,4,42.25,2.03,61.89,122.5,337.79,CCCCOCCOCCSC#N
n-methylethanolamine,CNCCO,Thermo_Experimental,C3H9NO,75.111,2,2,2,32.26,-0.8,-4.5,64.44,191.76,CNCCO
tert-butyl ethyl ether,CCOC(C)(C)C,Thermo_Experimental,C6H14O,102.177,2,0,1,9.23,1.82,-94.0,72.7,220.27,CCOC(C)(C)C
methyl formate,COC=O,Thermo_Experimental,C2H4O2,60.052,1,0,2,26.3,-0.21,-100.0,31.6,92.69,COC=O
diisobutyl adipate,CC(C)COC(=O)CCCCC(=O)OCC(C)C,Thermo_Experimental,C14H26O4,258.358,11,0,4,52.6,2.95,-20.0,279.0,472.63,CC(C)COC(=O)CCCCC(=O)OCC(C)C
perchlorate,[O-][Cl+3]([O-])([O-])[O-],Thermo_Experimental,ClO4-,99.449,0,0,4,92.24,-4.76,262.5,-78.82,67.38,[O-][Cl+3]([O-])([O-])[O-]
ethylmethylnitrosamine,CCN(C)N=O,Thermo_Experimental,C3H8N2O,88.11,1,0,2,32.67,0.62,-97.0,163.0,154.02,CCN(C)N=O
1-pentanol,CCCCCO,Thermo_Experimental,C5H12O,88.15,3,1,1,20.23,1.17,-78.45,137.6,208.27,CCCCCO
n-nitrosodipropylamine,CCCN(CCC)N=O,Thermo_Experimental,C6H14N2O,130.191,4,0,2,32.67,1.79,-98.0,206.0,243.72,CCCN(CCC)N=O
tert-butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,Thermo_Experimental,C8H14O3,158.197,4,0,3,43.37,1.31,-38.0,183.85,275.53,CC(=O)CC(=O)OC(C)(C)C
triethyl phosphonoacetate,CCOC(=O)CP(=O)(OCC)OCC,Thermo_Experimental,C8H17O5P,224.193,8,0,5,61.83,1.82,92.5,261.0,355.61,CCOC(=O)CP(=O)(OCC)OCC
pentane,CCCCC,Thermo_Experimental,C5H12,72.151,2,0,0,0.0,2.2,-130.0,36.06,167.12,CCCCC
"1,8-diazabicyclo[5.4.0]undec-7-ene",C1CCC2=NCCCN2CC1,Thermo_Experimental,C9H16N2,152.241,0,0,2,15.6,1.66,-70.0,242.55,285.69,C1CCC2=NCCCN2CC1
n-methyldiethanolamine,CN(CCO)CCO,Thermo_Experimental,C5H13NO2,119.164,4,2,3,43.7,-1.1,-21.0,245.0,267.41,CN(CCO)CCO
methylcyclopentane,CC1CCCC1,Thermo_Experimental,C6H12,84.162,0,0,0,0.0,2.2,-142.5,71.8,175.48,CC1CCCC1
"n,n'-methylenebisacrylamide",C=CC(=O)NCNC(=O)C=C,Thermo_Experimental,C7H10N2O2,154.169,4,2,2,58.2,-0.45,185.0,288.05,241.88,C=CC(=O)NCNC(=O)C=C
1-butanethiol,CCCCS,Thermo_Experimental,C4H10S,90.191,2,1,1,0.0,1.72,-116.0,109.61,162.49,CCCCS
dichlormid,C=CCN(CC=C)C(=O)C(Cl)Cl,Thermo_Experimental,C8H11Cl2NO,208.088,5,0,1,20.31,1.99,5.5,130.0,278.38,C=CCN(CC=C)C(=O)C(Cl)Cl
1-hexadecanol,CCCCCCCCCCCCCCCCO,Thermo_Experimental,C16H34O,242.447,14,1,1,20.23,5.46,49.5,334.0,577.53,CCCCCCCCCCCCCCCCO
"1,4-dithiane",C1CSCCS1,Thermo_Experimental,C4H8S2,120.242,0,0,2,0.0,1.47,111.65,115.6,167.57,C1CSCCS1
octamethyltrisiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,Thermo_Experimental,C8H24O2Si3,236.536,4,0,2,18.46,3.39,-80.0,152.48,421.72,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
di(trimethylolpropane),CCC(CO)(CO)COCC(CC)(CO)CO,Thermo_Experimental,C12H26O5,250.335,10,4,5,90.15,-0.24,109.5,215.0,460.45,CCC(CO)(CO)COCC(CC)(CO)CO
butanediol dimethacrylate,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,Thermo_Experimental,C12H18O4,226.272,9,0,4,52.6,2.01,226.28,110.0,380.74,C=C(C)C(=O)OCCCCOC(=O)C(=C)C
"n,n-diethyldodecanamide",CCCCCCCCCCCC(=O)N(CC)CC,Thermo_Experimental,C16H33NO,255.446,12,0,1,20.31,4.78,4.0,358.84,513.72,CCCCCCCCCCCC(=O)N(CC)CC
2212-32-0,CN(C)CCN(C)CCO,Thermo_Experimental,C7H18N2O,146.234,5,1,3,26.71,-0.53,21.26,207.05,287.26,CN(C)CCN(C)CCO
triethyl phosphate,CCOP(=O)(OCC)OCC,Thermo_Experimental,C6H15O4P,182.156,6,0,4,44.76,2.2,-56.2,216.0,295.61,CCOP(=O)(OCC)OCC
"3-acetyl-6-methyl-2h-pyran-2,4(3h)-dione",CC(=O)C1C(=O)C=C(C)OC1=O,Thermo_Experimental,C8H8O4,168.148,1,0,4,60.44,0.22,109.0,270.0,238.24,CC(=O)C1C(=O)C=C(C)OC1=O
phorate,CCOP(=S)(OCC)SCSCC,Thermo_Experimental,C7H17O2PS3,260.386,8,0,5,18.46,3.73,-42.78,126.11,359.9,CCOP(=S)(OCC)SCSCC
1-ethoxy-2-propanol,CCOCC(C)O,Thermo_Experimental,C5H12O2,104.149,3,1,2,29.46,0.4,-100.0,131.0,198.84,CCOCC(C)O
"n,n-dimethyl-1,3-propanediamine",CN(C)CCCN,Thermo_Experimental,C5H14N2,102.181,3,1,2,29.26,-0.1,-70.0,122.78,208.72,CN(C)CCCN
1-methyl-2-pyrrolidinone,CN1CCCC1=O,Thermo_Experimental,C5H9NO,99.133,0,0,1,20.31,0.24,-24.0,204.2,175.11,CN1CCCC1=O
2-(diisopropylamino)ethanol,CC(C)N(CCO)C(C)C,Thermo_Experimental,C8H19NO,145.246,4,1,2,23.47,1.1,-39.0,195.0,344.57,CC(C)N(CCO)C(C)C
methyl ethyl ketoxime,CCC(C)=NO,Thermo_Experimental,C4H9NO,87.122,1,1,2,32.59,1.25,-29.5,151.5,160.48,CCC(C)=NO
3-pentanone,CCC(=O)CC,Thermo_Experimental,C5H10O,86.134,2,0,1,17.07,1.38,-42.22,101.9,166.23,CCC(=O)CC
3-methylhexane,CCCC(C)CC,Thermo_Experimental,C7H16,100.205,3,0,0,0.0,2.83,-119.0,91.0,216.02,CCCC(C)CC
