name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
bis(2-ethylhexyl) maleate,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,Thermo_Experimental,C20H36O4,340.504,16,0,4,52.6,5.06,-60.0,164.0,636.42,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC
allylacetic acid,C=CCCC(=O)O,Thermo_Experimental,C5H8O2,100.117,3,1,1,37.3,1.04,-22.25,188.5,168.12,C=CCCC(=O)O
methyl isocyanate,CN=C=O,Thermo_Experimental,C2H3NO,57.052,0,0,2,29.43,-0.05,-80.0,38.3,82.78,CN=C=O
"n,n'-diethylthiourea",CCNC(=S)NCC,Thermo_Experimental,C5H12N2S,132.232,2,2,1,24.06,0.49,143.89,287.0,223.51,CCNC(=S)NCC
diethyl maleate,CCOC(=O)/C=C\C(=O)OCC,Thermo_Experimental,C8H12O4,172.18,6,0,4,52.6,0.67,1.5,218.0,274.7,CCOC(=O)/C=C\C(=O)OCC
2-methyl-2-propanethiol,CC(C)(C)S,Thermo_Experimental,C4H10S,90.191,0,1,1,0.0,1.71,-35.56,64.2,162.49,CC(C)(C)S
oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,Thermo_Experimental,C18H34O2,282.468,15,1,1,37.3,6.11,14.0,286.11,548.92,CCCCCCCC/C=C\CCCCCCCC(=O)O
1-(1-butoxy-2-propoxy)-2-propanol,CCCCOCC(C)OCC(C)O,Thermo_Experimental,C10H22O3,190.283,8,1,3,38.69,1.59,4.59,291.39,365.08,CCCCOCC(C)OCC(C)O
"trans-1,2-dichloroethylene",Cl/C=C/Cl,Thermo_Experimental,C2H2Cl2,96.944,0,0,0,0.0,1.94,-49.8,47.64,79.27,Cl/C=C/Cl
"cis-1,2-dichloroethene",Cl/C=C\Cl,Thermo_Experimental,C2H2Cl2,96.944,0,0,0,0.0,1.94,-80.0,60.0,79.27,Cl/C=C\Cl
trimethoxymethane,COC(OC)OC,Thermo_Experimental,C4H10O3,106.121,3,0,3,27.69,0.21,-19.0,100.0,186.52,COC(OC)OC
citronellyl butyrate,CCCC(=O)OCCC(C)CCC=C(C)C,Thermo_Experimental,C14H26O2,226.36,9,0,2,26.3,4.1,-17.32,245.0,436.56,CCCC(=O)OCCC(C)CCC=C(C)C
1-(4-fluorophenyl)-4-oxocyclohexanecarbonitrile,N#CC1(c2ccc(F)cc2)CCC(=O)CC1,Thermo_Experimental,C13H12FNO,217.243,1,0,2,40.86,2.73,82.0,444.51,327.19,N#CC1(c2ccc(F)cc2)CCC(=O)CC1
"butanoic acid, 2-butoxy-1-methyl-2-oxoethyl ester",CCCCOC(=O)C(C)OC(=O)CCC,Thermo_Experimental,C11H20O4,216.277,9,0,4,52.6,2.06,10.24,294.13,382.71,CCCCOC(=O)C(C)OC(=O)CCC
n-vinyl-2-pyrrolidone,C=CN1CCCC1=O,Thermo_Experimental,C6H9NO,111.144,1,0,1,20.31,0.75,13.5,96.0,195.19,C=CN1CCCC1=O
cyclododecane,C1CCCCCCCCCCC1,Thermo_Experimental,C12H24,168.324,0,0,0,0.0,4.68,60.7,244.0,326.09,C1CCCCCCCCCCC1
isoamyl nitrite,CC(C)CCON=O,Thermo_Experimental,C5H11NO2,117.148,3,0,3,38.66,1.73,-80.0,99.0,207.6,CC(C)CCON=O
1-bromotetradecane,CCCCCCCCCCCCCCBr,Thermo_Experimental,C14H29Br,277.29,12,0,0,0.0,6.08,5.3,307.0,484.28,CCCCCCCCCCCCCCBr
molybdenum trioxide,O=[Mo](=O)=O,Thermo_Experimental,MoO3,143.937,0,0,3,51.21,-0.36,795.0,1155.0,126.95,[O]=[Mo](=[O])=[O]
bis(2-ethylhexyl) hydrogen phosphate,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,Thermo_Experimental,C16H35O4P,322.426,14,1,3,55.76,5.55,-60.0,155.0,597.22,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
dibutyl adipate,CCCCOC(=O)CCCCC(=O)OCCCC,Thermo_Experimental,C14H26O4,258.358,13,0,4,52.6,3.23,-32.4,305.05,456.49,CCCCOC(=O)CCCCC(=O)OCCCC
"2,4-dimethylphenol",Cc1ccc(O)c(C)c1,Thermo_Experimental,C8H10O,122.167,0,1,1,20.23,2.01,24.5,210.94,210.49,Cc1ccc(O)c(C)c1
chromium(iii) oxide,O=[Cr]O[Cr]=O,Thermo_Experimental,Cr2O3,151.989,0,0,3,43.37,-0.31,2432.0,3000.0,156.9,[O]=[Cr][O][Cr]=[O]
lactide,CC1OC(=O)C(C)OC1=O,Thermo_Experimental,C6H8O4,144.126,0,0,4,52.6,-0.14,120.75,177.97,211.97,CC1OC(=O)C(C)OC1=O
triglyme,COCCOCCOCCOC,Thermo_Experimental,C8H18O4,178.228,9,0,4,36.92,0.31,-45.0,218.0,368.04,COCCOCCOCCOC
sulfonethylmethane,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,Thermo_Experimental,C8H18O4S2,242.362,5,0,4,68.28,0.98,76.0,305.77,371.63,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC
