############################################################################,,,,,,,,,,
The table contains calculated ideal-gas properties,,,,,,,,,,
,,,,,,,,,,
Abbreviation,Meaning,Units,,,,,,,,
Formula,Molecular formula,,,,,,,,,
Name,Compound name,,,,,,,,,
Nconf,Number of conformers,,,,,,,,,
H,Enthalpy H(298.15 K) - H(0 K),kJ/mol,,,,,,,,
S,"Absolute entropy S0(298.15 K, 100 kPa)",J/K/mol,,,,,,,,
Cp298,Heat capacity Cp at T=298.15 K,J/K/mol,,,,,,,,
Cp400,Heat capacity Cp at T=400 K,J/K/mol,,,,,,,,
Cp500,Heat capacity Cp at T=500 K,J/K/mol,,,,,,,,
dHf,Enthalpy of formation at T=298.15 K,kJ/mol,,,,,,,,
+/-dHf,Expanded (k=2) uncertainty of formation enthalpy,kJ/mol,,,,,,,,
Dipole,Dipole moment (debye),Debye,,,,,,,,
Comment,Comment,,,,,,,,,
"R,S,RR,RS",Stereo states,,,,,,,,,
||,Identical stereo states,,,,,,,,,
,,,,,,,,,,
The computation methods are described in the publications:,,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2018. Efficient estimation of formation enthalpies for closed-shell organic compounds with local coupled-cluster methods. Journal of Chemical Theory and Computation, 14(11), pp.5920-5932.",,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2019. Critical evaluation of the enthalpies of formation for fluorinated compounds using experimental data and high-level ab initio calculations. Journal of Chemical & Engineering Data, 64(11), pp.4863-4874.",,,,,,,,,,
,,,,,,,,,,
############################################################################,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K",,,,,,,,,,
# ,,,,,,,,,,
C3H6O2,methyl ethanoate,2,18.900,328.228,90.739,111.159,129.894,-410.51,2.67,
C2H5NO2,nitroethane,1,16.975,321.806,82.172,101.974,119.676,-104.10,2.74,
C6H14,"2,3-dimethylbutane",2,24.915,365.812,137.925,178.527,215.956,-176.06,2.72,
C3H7NO2,2-nitropropane,1,20.423,343.887,105.426,131.616,155.076,-139.72,2.74,
C5H12,pentane,4,23.278,348.294,112.194,146.353,178.431,-145.81,2.66,
C6H14,3-methylpentane,6,25.765,383.022,135.581,176.278,214.096,-170.64,2.72,
C5H10O,2-methylbutanal,9,23.700,372.768,119.405,151.307,180.624,-232.83,2.59,R || S
C5H10,1-pentene,5,20.616,345.293,104.045,134.974,163.135,-21.79,2.62,
C5H10O,pentan-3-one,2,23.331,370.832,119.109,151.374,180.764,-250.25,2.59,
C3H6O3,methyl hydroxyethanoate,5,21.344,345.831,104.789,127.853,148.567,-560.32,2.86,
C6H12,methylcyclopentane,1,19.988,339.836,111.529,152.520,189.634,-106.22,2.64,
C5H7N,N-methylpyrrole,1,17.312,314.692,94.004,124.472,150.572,104.45,2.64,
C4H11N,1-butanamine,14,22.438,361.705,110.111,142.251,171.920,-91.72,2.73,
C4H5N,3-butenenitrile,2,18.052,314.382,84.109,104.044,121.125,164.04,2.79,
C3H8O2,dimethoxymethane,3,20.158,332.804,96.786,121.063,144.331,-353.25,2.72,
C4H11N,diethylamine,6,23.277,350.134,109.092,141.017,170.831,-73.35,2.73,
C4H8O,ethoxyethene,4,21.782,333.347,97.230,123.943,147.720,-139.36,2.61,
C3H6O2,ethyl methanoate,4,18.127,324.810,86.652,107.988,127.552,-392.69,2.67,
C4H5N,pyrrole,1,13.057,270.718,71.602,96.875,117.504,109.05,2.63,
C4H8O,tetrahydrofuran,1,15.590,302.313,80.659,110.524,137.551,-183.24,2.58,
C4H4O,furan,1,12.330,267.081,65.214,88.541,107.559,-33.14,2.56,
C6H14,hexane,12,27.738,387.755,132.725,173.763,212.125,-166.38,2.72,
C5H13N,1-pentanamine,48,26.955,401.266,130.648,169.661,205.611,-112.31,2.77,
C4H4N2,butanedinitrile,2,19.944,328.323,93.029,111.992,128.157,209.35,3.03,
C5H10O,pentanal,14,25.172,382.579,116.581,149.061,178.955,-227.79,2.59,
C4H8O2,propyl methanoate,8,21.382,366.259,107.186,135.389,161.225,-413.76,2.68,
C6H12,cyclohexane,2,17.714,298.467,105.767,147.853,185.896,-122.65,2.64,
C6H10,cyclohexene,1,17.127,310.045,99.809,137.588,171.087,-5.39,2.61,
C5H5N,pyridine,1,13.824,282.105,76.972,104.815,128.329,139.41,2.65,
C3H6O3,"1,3,5-trioxane",2,15.287,289.915,83.571,111.640,136.582,-471.03,2.88,
C4H10O2,"3-methyl-2,4-dioxapentane",5,23.859,372.276,121.531,152.478,181.387,-392.31,2.74,
C4H10O,1-methoxypropane,4,21.605,348.857,104.762,133.796,161.429,-239.05,2.64,
C4H6O2,.gamma.-butyrolactone,1,16.172,306.910,86.850,114.867,139.181,-369.44,2.66,
C3H6O,2-propenol,5,16.714,308.328,77.757,97.639,115.148,-127.08,2.60,
C4H10O2,"1,3-butanediol",65,26.282,376.610,122.922,156.439,185.916,-449.87,2.74,R || S
C3H2N2,propanedinitrile,1,15.320,289.864,72.892,84.848,94.653,255.37,3.05,
C4H6O,divinyl ether,3,17.527,319.193,89.714,113.290,133.119,-14.08,2.82,
C4H9N,pyrrolidine,2,16.041,313.115,84.190,116.844,146.129,-5.22,2.67,
C2H5N,azacyclopropane,1,11.049,250.021,50.878,68.357,83.882,126.35,2.63,
C4H8O2,"2-methyl-1,3-dioxolane",1,18.504,326.565,97.726,129.109,157.293,-349.51,2.69,
C4H5N,cyclopropanecarbonitrile,1,15.114,292.923,78.470,100.836,119.507,187.68,2.64,
C3H4,1-propyne,1,12.893,247.352,60.192,72.053,82.167,185.91,2.58,
CH3NO2,nitromethane,1,14.034,295.569,61.319,74.115,85.598,-73.56,2.74,
C6H10,3-methylcyclopentene,2,18.944,326.903,104.610,141.878,174.747,5.42,2.61,R || S
C2H3N,acetonitrile,1,11.998,242.732,51.895,60.941,69.253,73.56,2.64,
C3H6O3,dimethyl carbonate,2,21.010,337.489,102.179,124.657,145.448,-571.33,2.86,
N2O4,dinitrogen tetroxide,1,16.535,302.678,77.564,88.307,96.724,14.70,3.42,
C4H10O2,"1,2-butanediol",50,26.046,378.918,123.662,156.492,185.778,-448.75,2.74,R || S
C7H14,3-ethyl-1-pentene,15,29.748,404.413,148.473,192.481,232.519,-69.75,2.68,
C3H4O3,ethylene carbonate,1,15.397,303.044,78.339,101.621,121.680,-511.64,2.86,
C2H6O,dimethyl ether,1,13.953,265.188,63.333,78.251,93.278,-185.06,2.58,
C4H4,1-buten-3-yne,1,14.324,277.531,71.707,87.494,100.100,288.86,2.84,
C4H6O,"2,3-dihydrofuran",1,14.453,291.107,74.684,100.820,123.461,-78.05,2.59,
C6H15N,triethylamine,5,29.856,406.400,152.349,197.396,239.189,-96.37,2.81,
C5H8O2,"2,4-pentanedione",3,23.530,381.390,123.275,154.725,182.275,-381.51,2.77,tautomer: (Z)-4-hydroxypent-3-en-2-one
C4H5NO2,succinimide,1,18.139,321.358,98.606,126.838,150.329,-370.07,2.76,
C7H14,"1,cis-2-dimethylcyclopentane",2,24.173,366.423,134.579,182.074,224.939,-130.07,2.69,
C7H14,"1,1-dimethylcyclopentane",2,23.848,361.824,136.142,183.867,226.553,-138.00,2.69,
H2,hydrogen,1,8.430,130.523,29.121,29.112,29.113,0.98,2.51,
C7H14,2-methyl-1-hexene,14,28.421,414.470,147.593,191.966,232.143,-78.18,2.68,
C5H8O2,ethyl propenoate,7,24.487,380.821,122.702,154.085,181.640,-337.37,2.77,
C6H15N,dipropylamine,42,31.007,433.099,150.209,195.913,238.268,-114.20,2.81,
C7H14,(Z)-3-heptene,9,28.110,411.056,146.142,190.375,230.708,-68.68,2.68,
C7H14,ethylcyclopentane,4,23.953,384.890,132.198,179.957,223.308,-126.86,2.69,
N2O5,dinitrogen pentoxide,1,19.298,345.722,91.516,105.656,116.319,14.07,3.69,
C7H14,"(1R,3R)-1,3-dimethylcyclopentane",2,23.264,370.156,134.839,182.132,224.936,-134.52,2.69,
C7H14,"1,cis-3-dimethylcyclopentane",1,23.498,363.152,135.235,182.327,225.039,-135.67,2.69,
C7H14,3-methyl-1-hexene,33,29.502,407.090,148.096,192.275,232.415,-69.72,2.68,R || S
C7H14,4-methyl-1-hexene,29,28.737,410.844,148.016,192.293,232.467,-69.00,2.68,R || S
C5H12O2,diethoxymethane,18,29.195,409.709,138.445,177.271,213.235,-419.10,2.77,
C7H16,"2,2,3-trimethylbutane",1,28.015,388.930,162.691,210.042,253.015,-203.26,2.77,
C5H10O2,3-methylbutanoic acid,9,25.696,389.254,132.803,168.510,200.027,-501.19,2.69,
C4H5NO2,methyl cyanoethanoate,4,22.651,381.425,112.117,135.175,155.304,-249.66,2.76,
C5H10O2,ethyl propanoate,9,25.789,403.264,131.967,166.542,197.876,-465.43,2.69,
C5H10O2,2-methylpropyl methanoate,8,25.136,390.854,130.524,165.228,196.840,-442.51,2.69,
C5H6N2,pentanedinitrile,4,23.251,365.993,113.061,139.195,161.737,175.82,3.01,
C7H16,"3,3-dimethylpentane",4,29.434,398.902,160.320,207.743,251.086,-199.66,2.77,
C7H16,"2,3-dimethylpentane",10,29.203,409.605,158.723,206.050,249.677,-194.12,2.77,R || S
C6H12O,3-methyl-2-pentanone,10,29.120,405.227,143.480,181.954,216.929,-282.66,2.62,R || S
C6H12O,2-methyl-3-pentanone,4,27.699,397.401,143.173,181.602,216.608,-284.32,2.62,
C7H16,3-methylhexane,38,29.849,419.964,156.149,203.681,247.774,-191.64,2.77,R || S
C6H12O,3-hexanone,11,27.401,410.004,140.887,179.737,215.200,-281.22,2.62,
C7H16,"2,2-dimethylpentane",3,28.693,393.469,160.213,207.661,251.091,-204.37,2.77,
C7H16,2-methylhexane,16,30.098,419.493,155.908,203.564,247.740,-194.26,2.77,
C7H14,1-heptene,45,29.374,423.723,145.110,189.785,230.506,-63.11,2.68,
C5H10O2,butyl methanoate,24,25.880,404.568,127.709,162.785,194.902,-434.11,2.69,
C7H14,"2,3,3-trimethyl-1-butene",1,26.577,383.310,153.851,198.011,237.080,-87.48,2.68,
C4H7NO,2-pyrrolidinone,1,16.855,310.852,92.271,122.285,148.408,-200.70,2.63,
C7H16,3-ethylpentane,6,29.538,410.259,156.008,203.608,247.691,-187.83,2.77,
C5H10O2,methyl butanoate,8,25.966,400.896,131.612,165.815,197.114,-453.09,2.69,
C6H12,2-methyl-2-pentene,1,24.088,365.365,129.560,165.762,198.949,-61.71,2.64,
C6H7N,aniline,1,17.963,317.440,107.421,141.714,169.762,87.01,2.65,
C6H14O,2-hexanol,88,30.702,424.699,150.949,194.487,234.215,-334.51,2.72,R || S
C6H14O,butyl ethyl ether,29,30.170,426.488,146.211,189.341,229.582,-293.38,2.72,
C7H12,cycloheptene,6,21.139,341.366,120.416,164.822,204.447,-9.94,2.63,
C6H14O,2-ethoxy-2-methylpropane,1,27.758,394.321,154.713,197.553,236.420,-319.16,2.72,
C7H14,(Z)-2-heptene,10,28.652,419.591,146.597,190.603,230.854,-69.28,2.68,
C6H12O,hexanal,47,29.656,422.766,137.124,176.472,212.642,-248.29,2.62,
C5H12O,pentan-1-ol,48,26.635,399.656,127.277,164.061,197.994,-296.20,2.67,
C2H4,ethene,1,10.489,219.043,42.493,52.479,61.864,51.38,2.58,
C2H2,ethyne,1,9.971,200.653,43.704,50.026,54.359,228.69,2.59,
CH5N,methanamine,1,11.549,240.847,48.880,59.743,70.383,-22.40,2.65,
C7H16,"2,4-dimethylpentane",5,28.458,395.118,158.434,205.844,249.565,-201.89,2.77,
C6H12O,4-methylpentan-2-one,4,28.084,396.920,143.394,182.133,217.216,-286.82,2.62,
C6H14O,4-methyl-2-pentanol,34,29.687,409.169,153.609,196.874,236.128,-341.42,2.72,R || S
C6H12O,"3,3-dimethyl-2-butanone",1,26.540,380.696,147.657,185.975,220.233,-291.05,2.62,
C5H10O2,"2,2-dimethylpropanoic acid",2,24.621,369.423,137.346,172.530,203.187,-507.33,2.69,
C6H14O,diisopropyl ether,3,27.744,392.559,153.090,196.054,235.243,-321.09,2.72,
C5H10O2,1-methylethyl ethanoate,4,25.753,392.323,135.282,169.625,200.455,-481.34,2.69,
C4H6O3,ethanoic anhydride,2,23.920,381.139,119.653,145.447,167.685,-575.58,2.88,
C4H4O3,succinic anhydride,1,17.970,323.907,94.856,120.711,142.045,-525.65,2.90,
C7H14,"1,trans-2-dimethylcyclopentane",1,23.642,363.916,135.464,182.470,225.133,-137.28,2.69,
C5H9NO,N-methylpyrrolidone,1,20.947,343.347,114.257,149.420,181.127,-213.81,2.64,
C7H8,toluene,1,19.105,338.845,107.455,143.418,174.182,51.96,2.59,
C6H7N,4-methylpyridine,1,18.722,337.079,102.518,135.627,164.241,103.76,2.65,
C6H13N,cyclohexylamine,11,22.180,351.794,127.919,174.202,215.438,-104.92,2.74,
C6H12O,cyclohexanol,10,21.685,351.863,124.649,168.792,208.017,-291.42,2.65,
C6H10O,cyclohexanone,2,19.791,334.713,113.996,153.711,188.801,-229.16,2.58,
C6H6O,phenol,1,17.223,313.571,101.671,134.155,160.647,-91.60,2.59,
C6H7N,3-methylpyridine,1,18.560,329.625,102.614,135.651,164.225,106.36,2.65,
C6H7N,2-methylpyridine,1,18.465,327.411,102.863,136.222,164.866,98.64,2.65,
C5H10O2,pentanoic acid,24,26.937,404.636,130.099,166.101,198.087,-493.12,2.69,
C5H10O2,propyl ethanoate,9,25.945,409.205,131.996,166.577,197.935,-464.53,2.69,
C5H10O,cyclopentanol,4,20.754,347.435,105.962,143.323,176.160,-242.87,2.61,
C5H10O2,2-tetrahydrofurylmethanol,15,22.916,367.272,118.268,157.711,192.545,-380.37,2.72,R || S
C5H6O2,2-hydroxymethylfuran,2,20.940,348.803,105.409,136.545,162.464,-216.78,2.68,
C5H4O2,2-furaldehyde,2,17.862,322.457,92.696,119.456,141.621,-152.47,2.69,
C6H14O,2-methoxy-2-methylbutane,6,29.195,405.585,154.423,196.920,235.690,-303.27,2.72,
C7H14,"1-pentene, 2-ethyl-",15,27.778,415.844,147.377,191.842,232.037,-76.16,2.68,
C7H10,bicyclo[2.2.1]hept-2-ene,1,16.423,306.684,103.747,149.002,187.271,78.97,2.61,
C7H14,methylcyclohexane,5,21.805,343.505,129.756,177.943,221.587,-153.88,2.69,
C6H14O,3-methyl-3-pentanol,16,28.704,410.182,155.862,199.220,238.095,-349.11,2.72,
C6H14O,hexan-1-ol,153,30.998,438.965,147.809,191.464,231.679,-316.85,2.72,
C6H14O,dipropyl ether,16,29.690,422.364,146.136,189.309,229.560,-293.84,2.72,
C4H2O3,maleic anhydride,1,16.172,304.677,86.785,108.783,125.941,-402.52,3.14,
C5H11N,piperidine,5,18.062,315.441,102.700,142.512,178.257,-49.00,2.70,
C5H12O,3-methylbutan-1-ol,14,25.694,386.801,129.903,166.447,199.910,-302.79,2.67,
C7H12,bicyclo[2.2.1]heptane,1,17.512,309.397,109.679,158.630,201.270,-56.93,2.63,
C2Cl5F,"1,1,1,2,2-pentachloro-2-fluoroethane",1,25.698,397.236,132.367,147.944,157.716,,,
CH2I2,diiodomethane,1,13.327,310.681,57.778,65.731,71.827,,,
C6H4Br2,"1,3-dibromobenzene",1,21.424,367.908,116.815,144.903,167.508,,,
C2Cl6,hexachloroethane,1,26.818,391.581,137.561,152.399,161.331,,,
C18H14,o-terphenyl,1,38.695,495.267,244.758,330.669,401.701,,,
C6Cl6,hexachlorobenzene,1,32.983,440.256,175.040,200.951,219.635,,,
C6F14,perfluorohexane,13,52.136,599.246,280.995,330.423,366.343,-2992.69,5.61,
C5F12,perfluoropentane,5,43.781,536.025,237.397,279.126,309.457,-2580.97,4.97,
,,,,,,,,,,
############################################################################ ,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K, Dipole - D",,,,,,,,,,
# ,,,,,,,,,,
############################################################################,,,,,,,,,,
Formula,Name,Nconf,H,S,Cp,dHf,+/-dHf,Dipole,,
C24H12,coronene,1,39.947,465.132,280.504,292.53,4.00,0.0000,,
C20H20,pagodane,1,29.025,389.798,235.665,205.22,3.18,0.0000,,
C18H12,chrysene,1,35.006,452.837,231.525,268.27,3.26,0.0000,,
C18H12,"2,3-benzanthracene",1,34.869,444.172,231.948,318.30,3.26,0.0000,,
C18H30,"1,3,5-tri-tert-butylbenzene",2,58.837,622.329,360.665,-235.71,3.24,0.0183,,
,,,,,,,,,,
############################################################################,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K",,,,,,,,,,
# ,,,,,,,,,,
############################################################################,,,,,,,,,,
Formula,Name,Nconf,H,S,Cp298,Cp400,Cp500,dHf,+/-dHf,Comment
C10H12,"1,2,3,4-tetrahydronaphthalene",2,23.878,367.133,147.454,202.866,250.723,25.58,2.78,
C6H6O2,"1,2-benzenediol",2,20.544,338.442,121.545,155.480,182.696,-269.03,2.80,
C8H16,1-ethyl-1-methylcyclopentane,6,28.006,398.301,157.105,211.507,260.333,-154.84,2.86,
C8H16,"cis-1,2-dimethylcyclohexane",3,25.124,368.141,153.139,207.748,257.077,-173.21,2.86,
C8H16,"trans-1,4-dimethylcyclohexane",3,25.388,365.264,153.749,208.005,257.235,-184.91,2.86,
C8H12,4-ethenylcyclohexene,6,24.568,371.688,136.419,183.762,225.138,69.55,2.93,R || S
C8H10,ethylbenzene,1,21.999,357.650,127.379,170.458,207.612,30.88,2.72,
C8H8,styrene,1,20.524,346.778,119.455,159.069,192.175,148.85,2.75,
C7H9N,benzylamine,2,21.814,360.832,125.254,166.209,200.933,87.12,2.77,
C7H5N,benzonitrile,1,18.667,323.792,106.795,138.742,164.839,217.33,2.82,
C7H6O,benzaldehyde,1,19.268,334.408,109.894,144.141,172.924,-36.15,2.71,
C6H4N2,3-cyanopyridine,1,18.372,328.256,102.482,131.472,155.310,278.74,3.14,
C7H9N,N-methylaniline,1,21.794,349.541,127.463,167.413,201.495,95.01,2.77,
C6H8N2,phenylhydrazine,2,21.681,347.658,124.240,162.998,195.042,208.26,3.08,
C7H8O,anisole,1,20.806,344.165,120.688,159.010,191.627,-68.71,2.70,
C8H16,"trans-1,2-dimethylcyclohexane",5,25.414,365.352,153.601,207.983,257.243,-180.78,2.86,
C8H14,bicyclo[2.2.2]octane,1,20.889,336.750,128.706,183.511,232.161,-95.50,2.79,
C8H16,cyclooctane,4,24.604,364.979,146.863,202.358,252.707,-123.39,2.86,
C8H6,1-phenylethyne,1,19.560,328.157,115.396,150.282,178.169,320.95,2.80,
C8H18,"2,2,4-trimethylpentane",3,32.160,421.168,182.990,237.238,286.562,-222.81,2.95,
C6H12O2,"1,1-dimethylethyl ethanoate",2,29.117,405.509,160.860,201.864,238.155,-509.76,2.82,
C6H12O2,ethyl butanoate,19,29.705,433.221,152.334,193.819,231.464,-485.34,2.82,
C6H11NO,1-aza-2-cycloheptanone,6,22.541,356.124,131.536,175.393,214.145,-242.53,2.76,
C8H18,"2,3,3-trimethylpentane",7,33.155,424.652,183.463,237.536,286.674,-217.84,2.95,
C8H18,"3,3-dimethylhexane",21,33.645,434.155,181.119,235.264,284.839,-220.06,2.95,
C8H18,"2,2,3-trimethylpentane",4,31.808,416.107,183.458,237.558,286.738,-219.99,2.95,R || S
C8H18,"2,3,4-trimethylpentane",6,32.393,423.441,181.780,235.741,285.172,-215.80,2.95,
C7H14O,"2,4-dimethyl-3-pentanone",4,31.257,417.323,166.160,210.999,251.783,-308.88,2.76,
C8H18,"3,4-dimethylhexane",22,32.618,437.383,179.555,233.563,283.370,-212.23,2.95,"(R,R) || (S,S)"
C8H18,"3,4-dimethylhexane",21,33.109,440.212,179.532,233.557,283.370,-211.21,2.95,"(R,S)"
C8H16,"1,1-dimethylcyclohexane",3,24.942,364.886,154.638,209.484,258.626,-181.85,2.86,
C8H18,"2,2-dimethylhexane",4,32.596,428.414,180.823,235.093,284.785,-225.11,2.95,
C8H10,"1,4-dimethylbenzene",2,24.223,400.601,133.015,174.127,209.964,21.19,2.72,
C7H8O,4-methylphenol,1,22.284,363.667,127.252,164.799,196.344,-121.00,2.70,
C8H18,"2,2,3,3-tetramethylbutane",2,30.719,391.366,186.819,241.241,289.889,-224.77,2.95,
C6H4O2,"1,4-benzoquinone",1,19.052,322.022,106.890,135.649,159.034,-119.75,3.46,
C8H18,3-ethyl-2-methylpentane,22,35.860,453.781,179.121,233.284,283.205,-207.35,2.95,
C5H4O3,2-methylmaleic anhydride,1,20.728,346.139,111.985,139.073,161.310,-451.24,3.23,
C8H8,"1,3,5,7-cyclooctatetraene",1,20.349,325.573,121.060,160.009,192.547,294.88,3.84,
C8H16,"2,4,4-trimethyl-1-pentene",2,30.151,405.648,174.686,225.645,270.978,-112.00,2.82,
C8H16,"2,4,4-trimethyl-2-pentene",1,30.894,410.679,177.796,227.172,271.643,-107.62,2.82,
C8H14,"2,5-dimethyl-2,4-hexadiene",2,30.626,412.141,167.519,212.258,252.760,-17.53,2.95,
C8H10,"1,3-dimethylbenzene",2,24.219,406.383,133.083,174.216,210.057,20.57,2.72,
C7H8O,3-methylphenol,2,22.322,367.701,127.226,164.873,196.450,-123.44,2.70,
C6H6O2,"1,3-benzenediol",3,20.610,342.333,121.458,155.587,182.869,-267.20,2.80,
C7H9N,"2,6-dimethylpyridine",1,23.219,361.498,128.836,167.644,201.405,58.23,2.77,
C8H10,"1,2-dimethylbenzene",1,22.674,348.888,132.110,173.730,209.790,19.16,2.72,
C7H8O,2-methylphenol,2,21.946,352.592,126.900,164.651,196.282,-125.46,2.70,
C7H9N,2-methylaniline,1,21.938,346.858,131.745,171.638,205.017,53.34,2.77,
C4H4O4,"cis-1,4-butenedioic acid",6,23.880,370.976,117.076,145.126,167.209,-676.43,3.45,
C6H12O2,2-methylpropyl ethanoate,7,29.611,430.654,155.420,196.446,233.560,-492.77,2.82,
C8H16,"cis-1,4-dimethylcyclohexane",3,25.285,370.274,153.334,207.868,257.183,-177.08,2.86,
C8H16,"cis-1,3-dimethylcyclohexane",5,25.401,371.149,153.804,208.043,257.267,-185.06,2.86,
C6H12O2,ethyl 2-methylpropanoate,7,29.806,428.334,154.848,195.814,232.946,-489.58,2.82,
C6H14O2,"1,1-diethoxyethane",23,33.411,439.711,163.326,208.680,250.248,-456.22,2.92,
C8H12,"2-methyl-8,9,10-trinorborn-2-ene",1,20.723,339.280,128.556,178.952,222.364,39.82,2.74,R || S
C8H16,"trans-1,3-dimethylcyclohexane",4,25.299,370.008,153.372,207.899,257.213,-176.91,2.86,
,,,,,,,,,,
############################################################################ ,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K, Dipole - D",,,,,,,,,,
# ,,,,,,,,,,
############################################################################,,,,,,,,,,
Formula,Name,Nconf,H,S,Cp,dHf,+/-dHf,Dipole,,
C6H6N2O,3-pyridinecarboxamide,2,23.060,371.522,128.194,-40.55,3.07,2.4540,,
C8H14O,6-methyl-5-hepten-2-one,7,34.827,469.979,178.976,-217.35,2.81,2.7292,,

