Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.18878383297673,28.508562717162157,20.18878383297673
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.928367512513006,32.58895792963017,23.928367512513006
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.746791077418074,30.14558034115074,22.746791077418074
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,23.033387062274883,29.48965457185474,23.033387062274883
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.48235486086391,29.663134084758923,22.48235486086391
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,26.292070287576312,36.21557499565538,26.292070287576312
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,30.65486652273967,44.064960178757744,30.65486652273967
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,38.68672500553718,56.05628103494822,38.68672500553718
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,45.6283069399492,76.94575059329608,45.6283069399492
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,97.3877358994278,166.08365275740178,97.3877358994278
