Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.47506407147286,17.175299363725415,12.47506407147286
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,15.047836851658978,21.26470327149829,15.047836851658978
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.57782384250371,21.011997527456888,15.57782384250371
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,14.741473914626887,19.907808961319223,14.741473914626887
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,13.09796497893312,17.82094360198867,13.09796497893312
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,14.880153707417877,22.27189565973582,14.880153707417877
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,16.852314410803157,24.629140979393767,16.852314410803157
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,18.661650451788123,27.824747191712163,18.661650451788123
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,19.143627684625283,29.10092826107227,19.143627684625283
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,35.85216009579823,63.641771684229,35.85216009579823
