feature,importance,importance_std,explanation_type,pair,model
molecular_weight,107.68081935950322,88.00973251118606,shap_linear_mean_abs,molecular_weight + rotatable_bonds,linear
rotatable_bonds,67.68908169370488,56.71293402973148,shap_linear_mean_abs,molecular_weight + rotatable_bonds,linear
